ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth
20237,JDS4,Blank Sample,Procedural Blank JDS4,"Sat, 06/29/2019 - 22:00","Sat, 05/25/2019 - 22:00",11,Ulm,Germany,48.424005,10.026232,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Danube River,,,,
20238,JDS4,Blank Sample,Procedural Blank JDS4,"Sat, 06/29/2019 - 22:00","Sat, 05/25/2019 - 22:00",10,Ulm,Germany,48.424005,10.026232,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Danube River,,,,
20239,JDS4,Real Sample,River water 37 Downstream Pancevo,"Sun, 07/07/2019 - 22:00","Sun, 06/02/2019 - 22:00",11,Pancevo,Serbia,44.812138,20.644889,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.86,27.8,,Danube River Basin,Danube River Basin,,,
20240,JDS4,Real Sample,River water 37 Downstream Pancevo,"Sun, 07/07/2019 - 22:00","Sun, 06/02/2019 - 22:00",10,Pancevo,Serbia,44.812138,20.644889,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.86,27.8,,Danube River Basin,Danube River Basin,,,
20241,JDS4,Real Sample,River water 51 Vilkova - Chilia arm Kilia arm,"Sat, 06/29/2019 - 22:00","Sat, 05/25/2019 - 22:00",11,Vylkove,Ukraine,45.39702,29.582076,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.85,26.1,,Danube River Basin,Danube River Basin,,,
20242,JDS4,Real Sample,River water 51 Vilkova - Chilia arm Kilia arm,"Sat, 06/29/2019 - 22:00","Sat, 05/25/2019 - 22:00",10,Vylkove,Ukraine,45.39702,29.582076,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.85,26.1,,Danube River Basin,Danube River Basin,,,
20243,JDS4,Real Sample,River water 50 Reni,"Sun, 06/30/2019 - 22:00","Sun, 05/26/2019 - 22:00",11,Reni,Ukraine,45.460721,28.252591,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.98,25.4,,Danube River Basin,Danube River Basin,,,
20244,JDS4,Real Sample,River water 50 Reni,"Sun, 06/30/2019 - 22:00","Sun, 05/26/2019 - 22:00",10,Reni,Ukraine,45.460721,28.252591,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.98,25.4,,Danube River Basin,Danube River Basin,,,
20245,JDS4,Real Sample,River water 49 Giurgiulesti,"Sun, 06/30/2019 - 22:00","Sun, 05/26/2019 - 22:00",11,Galati,Romania,45.471361,28.196357,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.87,25.3,,Danube River Basin,Danube River Basin,,,
20246,JDS4,Real Sample,River water 49 Giurgiulesti,"Sun, 06/30/2019 - 22:00","Sun, 05/26/2019 - 22:00",10,Galati,Romania,45.471361,28.196357,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.87,25.3,,Danube River Basin,Danube River Basin,,,
