ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth,matrix,Capacity population equivalent,Daily flow m^3/day,MES Dry matter content (mg/L),River basin,Sludge retention time (days),Type of industry,Type of tertiary treatment,Type of treatment plant,Type of wastewater,Type of wastewater sample,Volume of the reactor (m^3),Wastewater fraction,Latitude.1
19200,AQUAlity,Real Sample,River Po Murazzi,"Wed, 06/19/2019 - 22:00","Wed, 05/15/2019 - 22:00",73,Turin,Italy,45.044222,7.683028,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Po Basin,River Po Basin,,,,surface-water,,,,,,,,,,,,,
19201,AQUAlity,Real Sample,River Po Murazzi,"Wed, 06/19/2019 - 22:00","Wed, 05/15/2019 - 22:00",72,Turin,Italy,45.044222,7.683028,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Po Basin,River Po Basin,,,,surface-water,,,,,,,,,,,,,
19202,AQUAlity,Real Sample,River Nonette,"Thu, 04/25/2019 - 22:00","Thu, 03/21/2019 - 22:00",73,Oise,France,49.197,2.418083,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Nonette,River Nonette,,,,surface-water,,,,,,,,,,,,,
19203,AQUAlity,Real Sample,River Nonette,"Thu, 04/25/2019 - 22:00","Thu, 03/21/2019 - 22:00",72,Oise,France,49.197,2.418083,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Nonette,River Nonette,,,,surface-water,,,,,,,,,,,,,
19204,AQUAlity,Real Sample,River Breche,"Thu, 04/25/2019 - 22:00","Thu, 03/21/2019 - 22:00",73,Oise,France,49.2965,2.451167,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Brèche,River Brèche,,,,surface-water,,,,,,,,,,,,,
19205,AQUAlity,Real Sample,River Breche,"Thu, 04/25/2019 - 22:00","Thu, 03/21/2019 - 22:00",72,Oise,France,49.2965,2.451167,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Brèche,River Brèche,,,,surface-water,,,,,,,,,,,,,
19206,AQUAlity,Real Sample,River Therain 02,"Thu, 04/25/2019 - 22:00","Thu, 03/21/2019 - 22:00",73,Oise,France,49.25525,2.433944,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Thérain,River Thérain,,,,surface-water,,,,,,,,,,,,,
19207,AQUAlity,Real Sample,River Therain 02,"Thu, 04/25/2019 - 22:00","Thu, 03/21/2019 - 22:00",72,Oise,France,49.25525,2.433944,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Thérain,River Thérain,,,,surface-water,,,,,,,,,,,,,
19210,AQUAlity,Real Sample,River Therain Oise before sewage treatment plant,"Wed, 09/04/2019 - 22:00","Wed, 07/31/2019 - 22:00",73,Oise,France,49.248417,2.452667,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Thérain,River Thérain,,,,surface-water,,,,,,,,,,,,,
19211,AQUAlity,Real Sample,River Therain Oise before sewage treatment plant,"Wed, 09/04/2019 - 22:00","Wed, 07/31/2019 - 22:00",72,Oise,France,49.248417,2.452667,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Thérain,River Thérain,,,,surface-water,,,,,,,,,,,,,
19180,AQUAlity,Real Sample,Municipal sewage treatment plant effluent  Ioanina,"Tue, 05/28/2019 - 22:00","Tue, 04/23/2019 - 22:00",73,Ioannina,Greece,39.709917,20.827778,,,,,,,,,,,,,,wastewater,112000.0,0.0,,,,,Other,,Waste water - Municipal,Influent wastewater,,Dissolved fraction,39.709917
19181,AQUAlity,Real Sample,Municipal sewage treatment plant effluent  Ioanina,"Tue, 05/28/2019 - 22:00","Tue, 04/23/2019 - 22:00",72,Ioannina,Greece,39.709917,20.827778,,,,,,,,,,,,,,wastewater,112000.0,0.0,,,,,Other,,Waste water - Municipal,Influent wastewater,,Dissolved fraction,39.709917
19182,AQUAlity,Real Sample,Hospital sewage treatment plant effluent Ioannina,"Mon, 06/03/2019 - 22:00","Mon, 04/29/2019 - 22:00",73,Ioannina,Greece,39.623,20.842194,,,,,,,,,,,,,,wastewater,112000.0,0.0,,,,,Other,,Waste water - Municipal,Influent wastewater,,Dissolved fraction,39.623
19183,AQUAlity,Real Sample,Hospital sewage treatment plant effluent Ioannina,"Mon, 06/03/2019 - 22:00","Mon, 04/29/2019 - 22:00",72,Ioannina,Greece,39.623,20.842194,,,,,,,,,,,,,,wastewater,112000.0,0.0,,,,,Other,,Waste water - Municipal,Influent wastewater,,Dissolved fraction,39.623
19192,AQUAlity,Real Sample,Treated wastewater for reuse in Turin,"Wed, 06/19/2019 - 22:00","Wed, 05/15/2019 - 22:00",73,Turin,Italy,45.0925,7.609947,,,,,,,,,,,,,,wastewater,886000.0,0.0,,,,,Other,,Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,45.0925
19193,AQUAlity,Real Sample,Treated wastewater for reuse in Turin,"Wed, 06/19/2019 - 22:00","Wed, 05/15/2019 - 22:00",72,Turin,Italy,45.0925,7.609947,,,,,,,,,,,,,,wastewater,886000.0,0.0,,,,,Other,,Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,45.0925
19208,AQUAlity,Real Sample,Hospital effluent Oise,"Wed, 09/04/2019 - 22:00","Wed, 07/31/2019 - 22:00",73,Oise,France,49.245194,2.451722,,,,,,,,,,,,,,wastewater,0.0,0.0,,,,,Other,,Other,Effluent wastewater,,Dissolved fraction,49.245194
19209,AQUAlity,Real Sample,Hospital effluent Oise,"Wed, 09/04/2019 - 22:00","Wed, 07/31/2019 - 22:00",72,Oise,France,49.245194,2.451722,,,,,,,,,,,,,,wastewater,0.0,0.0,,,,,Other,,Other,Effluent wastewater,,Dissolved fraction,49.245194
