ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,River basin name,Proxy pressures,Type of sampling depth,Distance from the river source (km),Depth (m),Sludge total organic carbon (% of total dry weight)
19212,CONNECT I+II LC,Blank Sample,Procedural Blank CONNECT 36-37,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",11,Cuxhaven,Germany,53.888617,8.705093,,(Whole) Fraction < 2mm,,,,,Surface sampling,,0.12,
19213,CONNECT I+II LC,Blank Sample,Procedural Blank CONNECT 36-37,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",10,Cuxhaven,Germany,53.888617,8.705093,,(Whole) Fraction < 2mm,,,,,Surface sampling,,0.12,
19214,CONNECT I+II LC,Blank Sample,Procedural Blank CONNECT 38-46,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",11,Amsterdam,Netherlands,53.888617,8.705093,,(Whole) Fraction < 2mm,,,,,Surface sampling,,0.1,
19215,CONNECT I+II LC,Blank Sample,Procedural Blank CONNECT 38-46,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",10,Amsterdam,Netherlands,53.888617,8.705093,,(Whole) Fraction < 2mm,,,,,Surface sampling,,0.1,
19216,CONNECT I+II LC,Real Sample,CONNECT 33 Sediment silt from Cuxhaven,"Sat, 08/15/2020 - 22:00","Sat, 07/11/2020 - 22:00",11,Cuxhaven,Germany,54.05,7.966667,North Sea,(Whole) Fraction < 2mm,,,North Sea,,Spot sampling,,1.0,
19217,CONNECT I+II LC,Real Sample,CONNECT 33 Sediment silt from Cuxhaven,"Sat, 08/15/2020 - 22:00","Sat, 07/11/2020 - 22:00",10,Cuxhaven,Germany,54.05,7.966667,North Sea,(Whole) Fraction < 2mm,,,North Sea,,Spot sampling,,1.0,
19218,CONNECT I+II LC,Real Sample,CONNECT 34 Sediment sandy silt from Cuxhaven,"Wed, 08/12/2020 - 22:00","Wed, 07/08/2020 - 22:00",11,Cuxhaven,Germany,54.833333,6.583333,North Sea,(Whole) Fraction < 2mm,,,North Sea,,Spot sampling,,1.0,
19219,CONNECT I+II LC,Real Sample,CONNECT 34 Sediment sandy silt from Cuxhaven,"Wed, 08/12/2020 - 22:00","Wed, 07/08/2020 - 22:00",10,Cuxhaven,Germany,54.833333,6.583333,North Sea,(Whole) Fraction < 2mm,,,North Sea,,Spot sampling,,1.0,
23211,CONNECT I+II LC,Blank Sample,Blank sediment for CONnECTII,"Tue, 05/23/2023 - 00:00","Fri, 10/20/2023 - 00:00",10,De Haan,,51.3,3.21,,(Whole) Fraction < 2mm,,,,,Spot sampling,,,
23213,CONNECT I+II LC,Real Sample,CONnECTII 01 Sediment from Firth of Forth in Scotland,"Thu, 12/01/2022 - 00:00","Fri, 10/20/2023 - 00:00",10,Edinburgh,,56.0115,-3.504333,,(Whole) Fraction < 2mm,,,,,Spot sampling,,,
23271,CONNECT I+II LC,Real Sample,CONnECTII 08 Sediment from W01 in Belgium,"Tue, 05/23/2023 - 00:00","Fri, 10/20/2023 - 00:00",10,Zeebrugge,,51.375,3.18917,,(Whole) Fraction < 2mm,,Sediment-River water,,,Surface sampling,,,
23273,CONNECT I+II LC,Real Sample,CONnECTII 11 Sediment from Kilkieran in Ireland,"Tue, 06/11/2019 - 00:00","Fri, 10/20/2023 - 00:00",10,Kilkieran,,53.325049,-9.733034,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,
23275,CONNECT I+II LC,Real Sample,CONnECTII 12 Sediment from Limerick Dock in Ireland,"Thu, 10/24/2019 - 00:00","Fri, 10/20/2023 - 00:00",10,Limerick,,52.660734,-8.640242,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,
23276,CONNECT I+II LC,Real Sample,CONnECTII 13 Sediment from Vigo Estuary in Spain,"Fri, 04/01/2022 - 00:00","Fri, 10/20/2023 - 00:00",10,Vigo,,42.25416667,-8.74388889,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,
23277,CONNECT I+II LC,Real Sample,CONnECTII 14 Sediment from Gulf of Cadiz in Spain,"Tue, 10/01/2019 - 00:00","Fri, 10/20/2023 - 00:00",10,Huelva,,37.15,-6.85444444,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,
23278,CONNECT I+II LC,Blank Sample,Blank sediment for CONnECTII,"Tue, 05/23/2023 - 12:00","Fri, 10/20/2023 - 00:00",11,De Haan,,51.3,3.21,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,
23280,CONNECT I+II LC,Real Sample,CONnECTII 01 Sediment from Firth of Forth in Scotland,"Thu, 12/01/2022 - 00:00","Fri, 10/20/2023 - 00:00",11,Edinburgh,,56.0115,-3.50433333,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,
23287,CONNECT I+II LC,Real Sample,CONnECTII 08 Sediment from W01 in Belgium,"Tue, 05/23/2023 - 12:00","Fri, 10/20/2023 - 12:00",11,Zeebrugge,,51.375,3.18917,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,
23289,CONNECT I+II LC,Real Sample,CONnECTII 11 Sediment from Kilkieran in Ireland,"Wed, 11/06/2019 - 12:00","Fri, 10/20/2023 - 12:00",11,Kilkieran,,53.325049,-9.733034,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,
23291,CONNECT I+II LC,Real Sample,CONnECTII 12 Sediment from Limerick Dock in Ireland,"Thu, 10/24/2019 - 12:00","Fri, 10/20/2023 - 12:00",11,Limerick,,52.660734,-8.640242,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,
23292,CONNECT I+II LC,Real Sample,CONnECTII 13 Sediment from Vigo Estuary in Spain,"Fri, 04/01/2022 - 12:00","Fri, 10/20/2023 - 12:00",11,Vigo,,42.25416667,-8.74388889,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,
23293,CONNECT I+II LC,Real Sample,CONnECTII 14 Sediment from Gulf of Cadiz in Spain,"Tue, 10/01/2019 - 12:00","Fri, 10/20/2023 - 12:00",11,Huelva,,37.15,-6.85444444,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,
