ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Groundwater fraction,River basin name,Proxy pressures,Type of sampling depth,Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L)
23493,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Bensheim Inj3,"Tue, 01/30/2024 - 13:00",,23403,,,49.68530001,8.5899,,,,,,,,
23494,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Fehlheim Inj1,"Tue, 01/30/2024 - 13:00",,23403,,,49.7047,8.5677,,,,,,,,
23495,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Fehlheim Inj2,"Tue, 01/30/2024 - 13:00",,23403,,,49.7047,8.5677,,,,,,,,
23496,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Fehlheim Inj3,"Tue, 01/30/2024 - 13:00",,23403,,,49.7047,8.5677,,,,,,,,
23509,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Gernsheim Inj1,"Tue, 01/30/2024 - 13:00",,23433,,,49.7381,8.504,,,,,,,,
23510,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Gernsheim Inj2,"Tue, 01/30/2024 - 13:00",,23433,,,49.7381,8.504,,,,,,,,
23511,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Gernsheim Inj3,"Tue, 01/30/2024 - 13:00",,23433,,,49.7381,8.504,,,,,,,,
23512,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Bensheim Inj1,"Tue, 01/30/2024 - 13:00",,23433,,,49.68530001,8.5899,,,,,,,,
23513,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Bensheim Inj2,"Tue, 01/30/2024 - 13:00",,23433,,,49.68530001,8.5899,,,,,,,,
23514,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Bensheim Inj3,"Tue, 01/30/2024 - 13:00",,23433,,,49.68530001,8.5899,,,,,,,,
23515,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Fehlheim Inj1,"Tue, 01/30/2024 - 13:00",,23433,,,49.7047,8.5677,,,,,,,,
23516,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Fehlheim Inj2,"Tue, 01/30/2024 - 13:00",,23433,,,49.7047,8.5677,,,,,,,,
23517,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Fehlheim Inj3,"Tue, 01/30/2024 - 13:00",,23433,,,49.7047,8.5677,,,,,,,,
