ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Sample Matrix,Location,Category,Category.1,Category.2,Proxy pressures,Proxy pressures.1,Proxy pressures.2
24150,NTS of airborne organic substances in PDMS-foam samplers GC-MS NILU Jean,Real Sample,Sample 4A = indoor sample from a house in Oslo,,,24106,Oslo,Norway,,,,Urban,,,,,,
24151,NTS of airborne organic substances in PDMS-foam samplers GC-MS NILU Jean,Real Sample,Sample 4B = indoor sample from a house in Oslo,,,24106,Oslo,Norway,,,,Urban,,,,,,
