ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Capacity population equivalent,Daily flow m^3/day,Dissolved organic carbon (mg/L),MES Dry matter content (mg/L),pH,Proxy pressures,River basin,Sludge retention time (days),Temperature (°C),Type of industry,Type of tertiary treatment,Type of treatment plant,Type of wastewater,Type of wastewater sample,Volume of the reactor (m^3),Wastewater fraction,Latitude.1
19561,DIANYA,Real Sample,Hospital wastewater pathology and oncology clinic DIANYA 11,"Mon, 02/15/2021 - 22:00","Mon, 01/11/2021 - 22:00",11,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19562,DIANYA,Real Sample,Hospital wastewater pathology and oncology clinic DIANYA 11,"Mon, 02/15/2021 - 22:00","Mon, 01/11/2021 - 22:00",10,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19755,DIANYA,Blank Sample,Hospital wastewater Procedural Blank 11-20,"Sat, 02/20/2021 - 22:00","Sat, 01/16/2021 - 22:00",11,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19756,DIANYA,Blank Sample,Hospital wastewater Procedural Blank 11-20,"Sat, 02/20/2021 - 22:00","Sat, 01/16/2021 - 22:00",10,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19757,DIANYA,Real Sample,Hospital wastewater administration buildings and wards DIANYA 20,"Fri, 02/19/2021 - 22:00","Fri, 01/15/2021 - 22:00",11,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19758,DIANYA,Real Sample,Hospital wastewater administration buildings and wards DIANYA 20,"Fri, 02/19/2021 - 22:00","Fri, 01/15/2021 - 22:00",10,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19759,DIANYA,Real Sample,Hospital wastewater pathology and oncology clinic DIANYA 19,"Fri, 02/19/2021 - 22:00","Fri, 01/15/2021 - 22:00",11,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19760,DIANYA,Real Sample,Hospital wastewater pathology and oncology clinic DIANYA 19,"Fri, 02/19/2021 - 22:00","Fri, 01/15/2021 - 22:00",10,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19761,DIANYA,Real Sample,Hospital wastewater administration buildings and wards DIANYA 18,"Thu, 02/18/2021 - 22:00","Thu, 01/14/2021 - 22:00",11,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19762,DIANYA,Real Sample,Hospital wastewater administration buildings and wards DIANYA 18,"Thu, 02/18/2021 - 22:00","Thu, 01/14/2021 - 22:00",10,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19763,DIANYA,Real Sample,Hospital wastewater pathology and oncology clinic DIANYA 17,"Thu, 02/18/2021 - 22:00","Thu, 01/14/2021 - 22:00",11,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19764,DIANYA,Real Sample,Hospital wastewater pathology and oncology clinic DIANYA 17,"Thu, 02/18/2021 - 22:00","Thu, 01/14/2021 - 22:00",10,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19765,DIANYA,Real Sample,Hospital wastewater administration buildings and wards DIANYA 16,"Wed, 02/17/2021 - 22:00","Wed, 01/13/2021 - 22:00",11,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19766,DIANYA,Real Sample,Hospital wastewater administration buildings and wards DIANYA 16,"Wed, 02/17/2021 - 22:00","Wed, 01/13/2021 - 22:00",10,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19767,DIANYA,Real Sample,Hospital wastewater pathology and oncology clinic DIANYA 15,"Wed, 02/17/2021 - 22:00","Wed, 01/13/2021 - 22:00",11,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19768,DIANYA,Real Sample,Hospital wastewater pathology and oncology clinic DIANYA 15,"Wed, 02/17/2021 - 22:00","Wed, 01/13/2021 - 22:00",10,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19769,DIANYA,Real Sample,Hospital wastewater administration buildings and wards DIANYA 14,"Tue, 02/16/2021 - 22:00","Tue, 01/12/2021 - 22:00",11,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19770,DIANYA,Real Sample,Hospital wastewater administration buildings and wards DIANYA 14,"Tue, 02/16/2021 - 22:00","Tue, 01/12/2021 - 22:00",10,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19771,DIANYA,Real Sample,Hospital wastewater pathology and oncology clinic DIANYA 13,"Tue, 02/16/2021 - 22:00","Tue, 01/12/2021 - 22:00",11,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19772,DIANYA,Real Sample,Hospital wastewater pathology and oncology clinic DIANYA 13,"Tue, 02/16/2021 - 22:00","Tue, 01/12/2021 - 22:00",10,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19773,DIANYA,Real Sample,Hospital wastewater administration buildings and wards DIANYA 12,"Mon, 02/15/2021 - 22:00","Mon, 01/11/2021 - 22:00",11,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19774,DIANYA,Real Sample,Hospital wastewater administration buildings and wards DIANYA 12,"Mon, 02/15/2021 - 22:00","Mon, 01/11/2021 - 22:00",10,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19775,DIANYA,Real Sample,Hospital wastewater pathology and oncology clinic DIANYA 11,"Mon, 02/15/2021 - 22:00","Mon, 01/11/2021 - 22:00",11,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19776,DIANYA,Real Sample,Hospital wastewater pathology and oncology clinic DIANYA 11,"Mon, 02/15/2021 - 22:00","Mon, 01/11/2021 - 22:00",10,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19777,DIANYA,Blank Sample,Procedural Blank for hospital wastewater DIANYA 1-10,"Sat, 12/26/2020 - 22:00","Sat, 11/21/2020 - 22:00",11,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19778,DIANYA,Blank Sample,Procedural Blank for hospital wastewater DIANYA 1-10,"Sat, 12/26/2020 - 22:00","Sat, 11/21/2020 - 22:00",10,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19779,DIANYA,Real Sample,Hospital wastewater administration buildings and wards DIANYA 10,"Fri, 11/06/2020 - 22:00","Fri, 10/02/2020 - 22:00",11,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19780,DIANYA,Real Sample,Hospital wastewater administration buildings and wards DIANYA 10,"Fri, 11/06/2020 - 22:00","Fri, 10/02/2020 - 22:00",10,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19781,DIANYA,Real Sample,Hospital wastewater pathology and oncology clinic DIANYA 9,"Fri, 11/06/2020 - 22:00","Fri, 10/02/2020 - 22:00",11,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19782,DIANYA,Real Sample,Hospital wastewater pathology and oncology clinic DIANYA 9,"Fri, 11/06/2020 - 22:00","Fri, 10/02/2020 - 22:00",10,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19783,DIANYA,Real Sample,Hospital wastewater administration buildings and wards DIANYA 8,"Thu, 11/05/2020 - 22:00","Thu, 10/01/2020 - 22:00",11,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19784,DIANYA,Real Sample,Hospital wastewater administration buildings and wards DIANYA 8,"Thu, 11/05/2020 - 22:00","Thu, 10/01/2020 - 22:00",10,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19785,DIANYA,Real Sample,Hospital wastewater pathology and oncology clinic DIANYA 7,"Thu, 11/05/2020 - 22:00","Thu, 10/01/2020 - 22:00",11,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19786,DIANYA,Real Sample,Hospital wastewater pathology and oncology clinic DIANYA 7,"Thu, 11/05/2020 - 22:00","Thu, 10/01/2020 - 22:00",10,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19787,DIANYA,Real Sample,Hospital wastewater administration buildings and wards DIANYA 6,"Wed, 11/04/2020 - 22:00","Wed, 09/30/2020 - 22:00",11,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19788,DIANYA,Real Sample,Hospital wastewater administration buildings and wards DIANYA 6,"Wed, 11/04/2020 - 22:00","Wed, 09/30/2020 - 22:00",10,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19789,DIANYA,Real Sample,Hospital wastewater pathology and oncology clinic DIANYA 5,"Wed, 11/04/2020 - 22:00","Wed, 09/30/2020 - 22:00",11,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
19790,DIANYA,Real Sample,Hospital wastewater pathology and oncology clinic DIANYA 5,"Wed, 11/04/2020 - 22:00","Wed, 09/30/2020 - 22:00",10,Heraklion,Greece,35.305648,25.154475,500,1000,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Influent wastewater,,Dissolved fraction,35.305648
