ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth
22057,Implementation of WFD Montenegro,Real Sample,Duklov most,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",11,Niksic,Montenegro,42.79294722,18.93425778,,Whole water with determination on each separate phase (sum of all phases),,,0.2,,,,Ferri Niksic,Andriatic Sea,,,
22058,Implementation of WFD Montenegro,Real Sample,Duklov most,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,Niksic,Montenegro,42.79294722,18.93425778,,Whole water with determination on each separate phase (sum of all phases),,,0.2,,,,Ferri Niksic,Andriatic Sea,,,
22059,Implementation of WFD Montenegro,Real Sample,Trebaljevo,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",11,Rovacko Trebaljevo,Montenegro,42.86181389,19.52581583,,Whole water with determination on each separate phase (sum of all phases),,,0.2,,,,Tapa,Danube River Basin,,,
22060,Implementation of WFD Montenegro,Real Sample,Trebaljevo,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,Rovacko Trebaljevo,Montenegro,42.86181389,19.52581583,,Whole water with determination on each separate phase (sum of all phases),,,0.2,,,,Tapa,Danube River Basin,,,
22061,Implementation of WFD Montenegro,Real Sample,Nizvodno od Bijelog Polja,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",11,Dobrakovo,Montenegro,43.13495306,19.77559389,,Whole water with determination on each separate phase (sum of all phases),,,0.2,,,,Lim,Danube River Basin,,,
22062,Implementation of WFD Montenegro,Real Sample,Nizvodno od Bijelog Polja,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,Dobrakovo,Montenegro,43.13495306,19.77559389,,Whole water with determination on each separate phase (sum of all phases),,,0.2,,,,Lim,Danube River Basin,,,
22063,Implementation of WFD Montenegro,Real Sample,Andrijevica SW,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",11,Andrijevica,Montenegro,42.75027611,19.79350083,,Whole water with determination on each separate phase (sum of all phases),,,0.2,,,,Lim,Danube River Basin,,,
22064,Implementation of WFD Montenegro,Real Sample,Andrijevica SW,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,Andrijevica,Montenegro,42.75027611,19.79350083,,Whole water with determination on each separate phase (sum of all phases),,,0.2,,,,Lim,Danube River Basin,,,
22065,Implementation of WFD Montenegro,Real Sample,Nizvodno od Pljevalja,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",11,Pljevlja,Montenegro,43.36344167,19.29890278,,Whole water with determination on each separate phase (sum of all phases),,,0.2,,,,Breznica,Danube River Basin,,,
22066,Implementation of WFD Montenegro,Real Sample,Nizvodno od Pljevalja,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,Pljevlja,Montenegro,43.36344167,19.29890278,,Whole water with determination on each separate phase (sum of all phases),,,0.2,,,,Breznica,Danube River Basin,,,
22067,Implementation of WFD Montenegro,Real Sample,"Uzvodno od Pljevalja, Rabitlja","Sat, 07/21/2018 - 22:00","Sat, 06/16/2018 - 22:00",11,Pljevlja,Montenegro,43.311625,19.38555556,,Whole water with determination on each separate phase (sum of all phases),,,0.2,,,,Breznica,Danube River Basin,,,
22068,Implementation of WFD Montenegro,Real Sample,"Uzvodno od Pljevalja, Rabitlja","Sat, 07/21/2018 - 22:00","Sat, 06/16/2018 - 22:00",10,Pljevlja,Montenegro,43.311625,19.38555556,,Whole water with determination on each separate phase (sum of all phases),,,0.2,,,,Breznica,Danube River Basin,,,
