ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth
22391,RV Belgica vessel cruise,Real Sample,Seawater station S1,"Fri, 10/01/2021 - 00:00","Tue, 03/01/2022 - 00:00",10,De Panne,,51.35735,2.249818333,Marine water,Whole water with determination on each separate phase (sum of all phases),,,16.0,,17.7579,,North Sea,North Sea,,,Spot sampling
22392,RV Belgica vessel cruise,Real Sample,Seawater station S1,"Fri, 10/01/2021 - 00:00","Tue, 03/01/2022 - 00:00",11,De Panne,,51.35735,2.249818333,Marine water,,,,16.0,,17.7579,,North Sea,North Sea,,,Spot sampling
22393,RV Belgica vessel cruise,Real Sample,Seawater station S2,"Sun, 10/03/2021 - 00:00","Tue, 03/01/2022 - 00:00",10,Brest,,48.6822,-5.938626667,Marine water,Whole water with determination on each separate phase (sum of all phases),,,157.0,,16.9861,,Celtic Sea,Atlantic Ocean,,,Spot sampling
22394,RV Belgica vessel cruise,Real Sample,Seawater station S2,"Sun, 10/03/2021 - 00:00","Mon, 01/03/2022 - 00:00",11,Brest,,48.6822,-5.938626667,Marine water,Whole water with determination on each separate phase (sum of all phases),,,157.0,,16.9861,,Celtic Sea,Atlantic Ocean,,,Spot sampling
22395,RV Belgica vessel cruise,Real Sample,Seawater station S3,"Tue, 10/05/2021 - 00:00","Tue, 03/01/2022 - 00:00",10,Cedeira,,44.15878333,-8.560611667,Marine water,Whole water with determination on each separate phase (sum of all phases),,,1115.0,,18.0539,,Bay of Biscay,Atlantic Ocean,,,Spot sampling
22396,RV Belgica vessel cruise,Real Sample,Seawater station S3,"Tue, 10/05/2021 - 00:00","Tue, 03/01/2022 - 00:00",11,Cedeira,,44.15878333,-8.560611667,Marine water,Whole water with determination on each separate phase (sum of all phases),,,1115.0,,18.0539,,Bay of Biscay,Atlantic Ocean,,,Spot sampling
22397,RV Belgica vessel cruise,Real Sample,Seawater station S4,"Thu, 10/07/2021 - 00:00","Tue, 03/01/2022 - 00:00",10,Lisbon,,38.44788333,-10.01449333,Marine water,Whole water with determination on each separate phase (sum of all phases),,,1333.0,,20.3538,,Atlantic Ocean,Atlantic Ocean,,,Spot sampling
22398,RV Belgica vessel cruise,Real Sample,Seawater station S4,"Thu, 10/07/2021 - 00:00","Tue, 03/01/2022 - 00:00",11,Lisbon,,38.44788333,-10.01449333,Marine water,,,,1333.0,,20.3538,,Atlantic Ocean,Atlantic Ocean,,,Spot sampling
22399,RV Belgica vessel cruise,Real Sample,Seawater station S5,"Fri, 10/08/2021 - 00:00","Tue, 03/01/2022 - 00:00",10,Gibraltar,,35.91655,-6.578293333,Marine water,Whole water with determination on each separate phase (sum of all phases),,,660.0,,21.6152,,Atlantic Ocean,Atlantic Ocean,,,Spot sampling
22400,RV Belgica vessel cruise,Real Sample,Seawater station S5,"Fri, 10/08/2021 - 00:00","Tue, 03/01/2022 - 00:00",11,Gibraltar,,35.91655,-6.578293333,Marine water,Whole water with determination on each separate phase (sum of all phases),,,660.0,,21.6152,,Atlantic Ocean,Atlantic Ocean,,,Spot sampling
22401,RV Belgica vessel cruise,Real Sample,Seawater station S6,"Sat, 10/09/2021 - 00:00","Tue, 03/01/2022 - 00:00",10,Almeria,,36.21965,-2.769821667,Marine water,Whole water with determination on each separate phase (sum of all phases),,,1015.0,,,,Alboran Sea,Mediterranean Sea,,,Spot sampling
22402,RV Belgica vessel cruise,Real Sample,Seawater station S6,"Sat, 10/09/2021 - 00:00","Tue, 03/01/2022 - 00:00",11,Almeria,,36.21965,-2.769821667,Marine water,Whole water with determination on each separate phase (sum of all phases),,,1015.0,,22.451,,Alboran Sea,Mediterranean Sea,,,Spot sampling
22403,RV Belgica vessel cruise,Real Sample,Seawater station S7,"Sun, 10/10/2021 - 00:00","Tue, 03/01/2022 - 00:00",11,Murcia,,37.63738333,0.961286667,Marine water,Whole water with determination on each separate phase (sum of all phases),,,960.0,,22.8378,,Mediterranean Sea,Mediterranean Sea,,,Spot sampling
22404,RV Belgica vessel cruise,Real Sample,Seawater station S7,"Sun, 10/10/2021 - 00:00","Tue, 03/01/2022 - 00:00",10,Murcia,,37.63738333,0.961286667,Marine water,Whole water with determination on each separate phase (sum of all phases),,,960.0,,22.8378,,Mediterranean Sea,Mediterranean Sea,,,Spot sampling
