ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Groundwater fraction,River basin name,Proxy pressures,Type of sampling depth,Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L)
23393,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,groundwater sample 132,"Wed, 03/13/2024 - 01:00","Wed, 03/20/2024 - 01:00",23250,,Germany,,,,,,,,,,
23394,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,groundwater sample 141,"Wed, 03/13/2024 - 01:00","Wed, 03/20/2024 - 01:00",23250,,Germany,,,,,,,,,,
23395,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,groundwater sample 215,"Wed, 03/13/2024 - 01:00","Wed, 03/20/2024 - 01:00",23250,,Germany,,,,,,,,,,
23396,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,groundwater sample 287,"Wed, 03/13/2024 - 01:00","Wed, 03/20/2024 - 01:00",23250,,Germany,,,,,,,,,,
23397,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,groundwater sample TB,"Wed, 03/13/2024 - 01:00","Wed, 03/20/2024 - 01:00",23250,,Germany,,,,,,,,,,
25343,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,groundwater sample 132,"Wed, 03/13/2024 - 01:00","Wed, 03/20/2024 - 01:00",23251,,Germany,,,,,,,,,,
25344,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,groundwater sample 141,"Wed, 03/13/2024 - 01:00","Wed, 03/20/2024 - 01:00",23251,,Germany,,,,,,,,,,
25345,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,groundwater sample 215,"Wed, 03/13/2024 - 01:00","Wed, 03/20/2024 - 01:00",23251,,Germany,,,,,,,,,,
25346,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,groundwater sample 287,"Wed, 03/13/2024 - 01:00","Wed, 03/20/2024 - 01:00",23251,,Germany,,,,,,,,,,
