ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Groundwater fraction,River basin name,Proxy pressures,Type of sampling depth,Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L)
21645,Siverskyi Donets Monitoring,Real Sample,GW at Gruzke,"Mon, 09/24/2018 - 22:00","Mon, 08/20/2018 - 22:00",11,Vesele,,48.53333333,37.26666667,Whole water with determination on each separate phase (sum of all phases),Donets River Basin,,Spot sampling,20,,,
21646,Siverskyi Donets Monitoring,Real Sample,GW at Gruzke,"Mon, 09/24/2018 - 22:00","Mon, 08/20/2018 - 22:00",10,Vesele,,48.53333333,37.26666667,Whole water with determination on each separate phase (sum of all phases),Donets River Basin,,Spot sampling,20,,,
21647,Siverskyi Donets Monitoring,Real Sample,GW at Kreminna,"Mon, 09/24/2018 - 22:00","Mon, 08/20/2018 - 22:00",11,Myronivs'kyy,,48.49111111,38.29444444,Whole water with determination on each separate phase (sum of all phases),Donets River Basin,,Spot sampling,20,,,
21648,Siverskyi Donets Monitoring,Real Sample,GW at Kreminna,"Mon, 09/24/2018 - 22:00","Mon, 08/20/2018 - 22:00",10,Myronivs'kyy,,48.49111111,38.29444444,Whole water with determination on each separate phase (sum of all phases),Donets River Basin,,Spot sampling,20,,,
21649,Siverskyi Donets Monitoring,Real Sample,GW at Stara Krasnianka,"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",11,Rubizhne,,49.03638889,38.32444444,Whole water with determination on each separate phase (sum of all phases),Donets River Basin,,Spot sampling,20,,,
21650,Siverskyi Donets Monitoring,Real Sample,GW at Stara Krasnianka,"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",10,Rubizhne,,49.03638889,38.32444444,Whole water with determination on each separate phase (sum of all phases),Donets River Basin,,Spot sampling,20,,,
21651,Siverskyi Donets Monitoring,Real Sample,GW at Popasnianskyi region,"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",11,Lysychans'k,,48.9,38.51666667,Whole water with determination on each separate phase (sum of all phases),Donets River Basin,,Spot sampling,20,,,
21652,Siverskyi Donets Monitoring,Real Sample,GW at Popasnianskyi region,"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",10,Lysychans'k,,48.9,38.51666667,Whole water with determination on each separate phase (sum of all phases),Donets River Basin,,Spot sampling,20,,,
