ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Sample Matrix,Location,Category,Category.1,Category.2,Proxy pressures,Proxy pressures.1,Proxy pressures.2
25187,MILBY2022,Real Sample,22/3051_Indoor dust,"Sat, 10/01/2022 - 13:00","Wed, 07/09/2025 - 13:00",25167,,,59.9146,10.75439,Indoor air - Home,Urban,,,,,,
25188,MILBY2022,Real Sample,22/3053_Indoor dust,"Sun, 10/16/2022 - 13:00","Wed, 07/09/2025 - 13:00",25167,,,59.9146,10.75439,Indoor air - Home,Urban,,,,,,
25189,MILBY2022,Real Sample,22/3055_Indoor dust,"Tue, 10/18/2022 - 13:00","Wed, 07/09/2025 - 13:00",25167,,,59.9146,10.75439,Indoor air - Home,Urban,,,,,,
25190,MILBY2022,Real Sample,22/3057_Indoor dust,"Tue, 10/18/2022 - 13:00","Wed, 07/09/2025 - 13:00",25167,,,59.9146,10.75439,Indoor air - Home,Urban,,,,,,
25191,MILBY2022,Real Sample,22/3059_Indoor dust,"Sat, 10/22/2022 - 13:00","Wed, 07/09/2025 - 13:00",25167,,,59.9146,10.75439,Indoor air - Home,Urban,,,,,,
25217,MILBY2022,Real Sample,22/3051_Indoor dust,"Sat, 10/01/2022 - 13:00","Fri, 08/08/2025 - 13:00",25192,,,59.9146,10.75439,Indoor air - Home,Urban,,,,,,
25218,MILBY2022,Real Sample,22/3053_Indoor dust,"Sun, 10/16/2022 - 13:00","Fri, 08/08/2025 - 13:00",25192,,,59.9146,10.75439,Indoor air - Home,Urban,,,,,,
25219,MILBY2022,Real Sample,22/3055_Indoor dust,"Tue, 10/18/2022 - 13:00","Fri, 08/08/2025 - 13:00",25192,,,59.9146,10.75439,Indoor air - Home,Urban,,,,,,
25220,MILBY2022,Real Sample,22/3057_Indoor dust,"Tue, 10/18/2022 - 13:00","Fri, 08/08/2025 - 13:00",25192,,,59.9146,10.75439,Indoor air - Home,Urban,,,,,,
25221,MILBY2022,Real Sample,22/3059_Indoor dust,"Sat, 10/22/2022 - 13:00","Fri, 08/08/2025 - 13:00",25192,,,59.9146,10.75439,Indoor air - Home,Urban,,,,,,
