ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth
22930,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt PN1 sampling 1 pos-2,"Tue, 08/08/2023 - 13:00","Thu, 10/05/2023 - 18:00",22923,,,49.564496,8.168934,River water,,,,,,,,Landgraben,,,,
22931,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt PN1 sampling 1 pos-3,"Tue, 08/08/2023 - 13:00","Thu, 10/05/2023 - 18:30",22923,,,49.564496,8.168934,River water,,,,,,,,Landgraben,,,,
22932,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt PN1 sampling 2 pos-1,"Mon, 09/11/2023 - 13:00","Fri, 10/06/2023 - 17:30",22923,,,49.564496,8.168934,River water,,,,,,,,Landgraben,,,,
22933,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt PN1 sampling 2 pos-2,"Mon, 09/11/2023 - 13:00","Fri, 10/06/2023 - 18:00",22923,,,49.564496,8.168934,River water,,,,,,,,Landgraben,,,,
22934,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt PN1 sampling 2 pos-3,"Mon, 09/11/2023 - 13:00","Fri, 10/06/2023 - 18:30",22923,,,49.564496,8.168934,River water,,,,,,,,Landgraben,,,,
22935,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt PN1 sampling 1 neg-1,"Tue, 08/08/2023 - 13:00","Tue, 10/10/2023 - 20:00",22924,,,49.564496,8.168934,River water,,,,,,,,Landgraben,,,,
22936,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt PN1 sampling 1 neg-2,"Tue, 08/08/2023 - 13:00","Tue, 10/10/2023 - 20:30",22924,,,49.564496,8.168934,River water,,,,,,,,Landgraben,,,,
22937,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt PN1 sampling 1 neg-3,"Tue, 08/08/2023 - 13:00","Tue, 10/10/2023 - 21:00",22924,,,49.564496,8.168934,River water,,,,,,,,Landgraben,,,,
22938,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt PN1 sampling 2 neg-1,"Mon, 09/11/2023 - 13:00","Mon, 10/09/2023 - 20:30",22924,,,49.564496,8.168934,River water,,,,,,,,Landgraben,,,,
22939,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt PN1 sampling 2 neg-2,"Mon, 09/11/2023 - 13:00","Mon, 10/09/2023 - 21:00",22924,,,49.564496,8.168934,River water,,,,,,,,Landgraben,,,,
