ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Groundwater fraction,River basin name,Proxy pressures,Type of sampling depth,Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),matrix,Capacity population equivalent,Daily flow m^3/day,MES Dry matter content (mg/L),River basin,Sludge retention time (days),Type of industry,Type of tertiary treatment,Type of treatment plant,Type of wastewater,Type of wastewater sample,Volume of the reactor (m^3),Wastewater fraction,Latitude.1,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),"Name of river, estuary, lake, reservoir or sea",Distance from the river source (km)
23490,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Gernsheim Inj3,"Tue, 01/30/2024 - 13:00",,23403,,,49.7381,8.504,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23491,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Bensheim Inj1,"Tue, 01/30/2024 - 13:00",,23403,,,49.68530001,8.5899,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23492,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Bensheim Inj2,"Tue, 01/30/2024 - 13:00",,23403,,,49.68530001,8.5899,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23493,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Bensheim Inj3,"Tue, 01/30/2024 - 13:00",,23403,,,49.68530001,8.5899,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23494,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Fehlheim Inj1,"Tue, 01/30/2024 - 13:00",,23403,,,49.7047,8.5677,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23495,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Fehlheim Inj2,"Tue, 01/30/2024 - 13:00",,23403,,,49.7047,8.5677,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23496,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Fehlheim Inj3,"Tue, 01/30/2024 - 13:00",,23403,,,49.7047,8.5677,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23509,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Gernsheim Inj1,"Tue, 01/30/2024 - 13:00",,23433,,,49.7381,8.504,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23510,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Gernsheim Inj2,"Tue, 01/30/2024 - 13:00",,23433,,,49.7381,8.504,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23511,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Gernsheim Inj3,"Tue, 01/30/2024 - 13:00",,23433,,,49.7381,8.504,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23512,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Bensheim Inj1,"Tue, 01/30/2024 - 13:00",,23433,,,49.68530001,8.5899,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23513,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Bensheim Inj2,"Tue, 01/30/2024 - 13:00",,23433,,,49.68530001,8.5899,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23514,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Bensheim Inj3,"Tue, 01/30/2024 - 13:00",,23433,,,49.68530001,8.5899,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23515,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Fehlheim Inj1,"Tue, 01/30/2024 - 13:00",,23433,,,49.7047,8.5677,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23516,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Fehlheim Inj2,"Tue, 01/30/2024 - 13:00",,23433,,,49.7047,8.5677,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23517,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Fehlheim Inj3,"Tue, 01/30/2024 - 13:00",,23433,,,49.7047,8.5677,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23445,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,WWTP effluent Bensheim Inj1,"Wed, 11/15/2023 - 13:00",,23403,,,49.6881,8.59290001,,,,,,,,,wastewater,,,,,,,,,,Effluent wastewater,,,49.6881,,,,,,
23446,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,WWTP effluent Bensheim Inj2,"Wed, 11/15/2023 - 13:00",,23403,,,49.6881,8.59290001,,,,,,,,,wastewater,,,,,,,,,,Effluent wastewater,,,49.6881,,,,,,
23447,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,WWTP effluent Bensheim Inj3,"Wed, 11/15/2023 - 13:00",,23403,,,49.6881,8.59290001,,,,,,,,,wastewater,,,,,,,,,,Effluent wastewater,,,49.6881,,,,,,
23474,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,WWTP effluent Bensheim Inj1,"Wed, 11/15/2023 - 13:00",,23433,,,49.6881,8.59290001,,,,,,,,,wastewater,,,,,,,,,,Effluent wastewater,,,49.6881,,,,,,
23475,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,WWTP effluent Bensheim Inj2,"Wed, 11/15/2023 - 13:00",,23433,,,49.6881,8.59290001,,,,,,,,,wastewater,,,,,,,,,,Effluent wastewater,,,49.6881,,,,,,
23476,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,WWTP effluent Bensheim Inj3,"Wed, 11/15/2023 - 13:00",,23433,,,49.6881,8.59290001,,,,,,,,,wastewater,,,,,,,,,,Effluent wastewater,,,49.6881,,,,,,
23497,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,WWTP effluent Bensheim Inj1,"Tue, 01/30/2024 - 13:00",,23403,,,49.6881,8.59290001,,,,,,,,,wastewater,,,,,,,,,,Effluent wastewater,,,49.6881,,,,,,
