ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Capacity population equivalent,Daily flow m^3/day,Dissolved organic carbon (mg/L),MES Dry matter content (mg/L),pH,Proxy pressures,River basin,Sludge retention time (days),Temperature (°C),Type of industry,Type of tertiary treatment,Type of treatment plant,Type of wastewater,Type of wastewater sample,Volume of the reactor (m^3),Wastewater fraction,Latitude.1
19042,IP_scoring,Real Sample,Mix of pesticides at 50 ppb,"Sun, 09/15/2019 - 22:00","Sun, 08/11/2019 - 22:00",118,Barcelona,Spain,41.4,2.17,0,0,,,,,,,,,Other,,Other,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),41.4
19043,IP_scoring,Real Sample,Mix of pesticides at 50 ppb,"Sun, 09/15/2019 - 22:00","Sun, 08/11/2019 - 22:00",117,Barcelona,Spain,41.4,2.17,0,0,,,,,,,,,Other,,Other,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),41.4
19044,IP_scoring,Real Sample,Mix of compounds 2 at 50 ppb,"Sun, 09/15/2019 - 22:00","Sun, 08/11/2019 - 22:00",118,Barcelona,Spain,41.4,2.17,0,0,,,,,,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),41.4
19045,IP_scoring,Real Sample,Mix of compounds 2 at 50 ppb,"Sun, 09/15/2019 - 22:00","Sun, 08/11/2019 - 22:00",117,Barcelona,Spain,41.4,2.17,0,0,,,,,,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),41.4
19272,IP_scoring,Real Sample,Mix of compounds at 50 ppb,"Tue, 09/15/2020 - 22:00","Tue, 08/11/2020 - 22:00",119,Barcelona,Spain,41.4,2.17,1,1,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,41.4
19273,IP_scoring,Real Sample,Mix of compounds at 1 ppb,"Tue, 09/15/2020 - 22:00","Tue, 08/11/2020 - 22:00",119,Barcelona,Spain,41.4,2.17,1,1,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Effluent wastewater,,Dissolved fraction,41.4
19737,IP_scoring,Real Sample,Standard with urban contaminants,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1,1,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98
19738,IP_scoring,Real Sample,Standard with surfactants,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1,1,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98
19739,IP_scoring,Real Sample,Standard with steroids 02,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1,1,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98
19740,IP_scoring,Real Sample,Standard with steroids 01,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1,1,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98
19741,IP_scoring,Real Sample,Standard with polar substances 02,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1,1,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98
19742,IP_scoring,Real Sample,Standard with polar substances 01,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1,1,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98
