ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth
20939,ILS JDS4 LC,Real Sample,River water 47 Downstream Ruse - Giurgiu Marten HORIZON,"Tue, 07/02/2019 - 22:00","Tue, 05/28/2019 - 22:00",10,Ruse,Bulgaria,43.91083,26.06696,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.03,26.5,,Danube River Basin,Danube River Basin,,,
20940,ILS JDS4 LC,Real Sample,River water 24 Budapest downstream - M0 bridge HORIZON,"Sun, 07/07/2019 - 22:00","Sun, 06/02/2019 - 22:00",10,Budapest,Hungary,47.386701,19.010416,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.7,22.7,,Danube River Basin,Danube River Basin,,,
20941,ILS JDS4 LC,Real Sample,River water 06 Jochenstein HORIZON,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",10,Passau,Germany,48.5216425,13.7038264,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.99,18.5,,Danube River Basin,Danube River Basin,,,
20942,ILS JDS4 LC,Blank Sample,Blank HORIZON,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",10,Passau,Germany,48.5216425,13.7038264,,Dissolved fraction,,,0.1,,,,Danube river,,,,
20943,ILS JDS4 LC,Real Sample,Matrix Spike 2000ng,"Sat, 06/29/2019 - 22:00","Sat, 05/25/2019 - 22:00",11,Ulm,Germany,48.424005,10.026232,,Whole water with determination on each separate phase (sum of all phases),,,10.01,,,,Danube River,,,,
20944,ILS JDS4 LC,Real Sample,Matrix Spike 2000ng,"Sat, 06/29/2019 - 22:00","Sat, 05/25/2019 - 22:00",10,Ulm,Germany,48.424005,10.026232,,Whole water with determination on each separate phase (sum of all phases),,,10.01,,,,Danube River,,,,
20945,ILS JDS4 LC,Real Sample,Matrix Spike 200ng,"Sat, 06/29/2019 - 22:00","Sat, 05/25/2019 - 22:00",11,Ulm,Germany,48.424005,10.026232,,Whole water with determination on each separate phase (sum of all phases),,,10.0,,,,Danube River,,,,
20946,ILS JDS4 LC,Real Sample,Matrix Spike 200ng,"Sat, 06/29/2019 - 22:00","Sat, 05/25/2019 - 22:00",10,Ulm,Germany,48.424005,10.026232,,Whole water with determination on each separate phase (sum of all phases),,,10.0,,,,Danube River,,,,
20947,ILS JDS4 LC,Blank Sample,JDS4-Blank-SW-LS,"Sat, 06/29/2019 - 22:00","Sat, 05/25/2019 - 22:00",11,,Germany,48.424005,10.026232,,Whole water with determination on each separate phase (sum of all phases),,,10.0,,,,Danube River,,,,
20948,ILS JDS4 LC,Blank Sample,JDS4-Blank-SW-LS,"Sat, 06/29/2019 - 22:00","Sat, 05/25/2019 - 22:00",10,,Germany,48.424005,10.026232,,Whole water with determination on each separate phase (sum of all phases),,,10.0,,,,Danube River,,,,
