ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Sample Matrix,Location,Category,Category.1,Category.2,Proxy pressures,Proxy pressures.1,Proxy pressures.2,matrix
25112,NTS of airborne organic substances in PDMS-foam samplers GC-MS AMMLiU Ivan Kozyatnyk,QC Sample,IS,"Fri, 11/01/2024 - 13:00","Thu, 12/19/2024 - 13:00",25111,Linkoping,Sweden,58.40217554,15.61832655,Indoor air - Office,,,,,,,,indoor-air
25113,NTS of airborne organic substances in PDMS-foam samplers GC-MS AMMLiU Ivan Kozyatnyk,QC Sample,Kovats RI mix,"Fri, 11/01/2024 - 13:00","Thu, 12/19/2024 - 13:00",25111,Linkoping,Sweden,58.40217554,15.61832655,Indoor air - Office,,,,,,,,indoor-air
25114,NTS of airborne organic substances in PDMS-foam samplers GC-MS AMMLiU Ivan Kozyatnyk,QC Sample,C20 Eicosane,"Fri, 11/01/2024 - 13:00","Thu, 12/19/2024 - 13:00",25111,Linkoping,Sweden,58.40217554,15.61832655,Indoor air - Office,,,,,,,,indoor-air
25115,NTS of airborne organic substances in PDMS-foam samplers GC-MS AMMLiU Ivan Kozyatnyk,Blank Sample,FB2,"Fri, 11/01/2024 - 13:00","Thu, 12/19/2024 - 13:00",25111,Linkoping,Sweden,58.40217554,15.61832655,Indoor air - Office,,,,,,,,indoor-air
25116,NTS of airborne organic substances in PDMS-foam samplers GC-MS AMMLiU Ivan Kozyatnyk,Real Sample,S2A,"Fri, 11/01/2024 - 13:00","Thu, 12/19/2024 - 13:00",25111,Linkoping,Sweden,58.40217554,15.61832655,Indoor air - Office,,,,,,,,indoor-air
25117,NTS of airborne organic substances in PDMS-foam samplers GC-MS AMMLiU Ivan Kozyatnyk,Real Sample,S2B,"Fri, 11/01/2024 - 13:00","Thu, 12/19/2024 - 13:00",25111,Linkoping,Sweden,58.40217554,15.61832655,Indoor air - Office,,,,,,,,indoor-air
25118,NTS of airborne organic substances in PDMS-foam samplers GC-MS AMMLiU Ivan Kozyatnyk,Blank Sample,FB3,"Fri, 11/01/2024 - 13:00","Thu, 12/19/2024 - 13:00",25111,Linkoping,Sweden,58.40217554,15.61832655,Indoor air - Office,,,,,,,,indoor-air
25119,NTS of airborne organic substances in PDMS-foam samplers GC-MS AMMLiU Ivan Kozyatnyk,Real Sample,S3A,"Fri, 11/01/2024 - 13:00","Thu, 12/19/2024 - 13:00",25111,Linkoping,Sweden,58.40217554,15.61832655,Indoor air - Office,,,,,,,,indoor-air
25120,NTS of airborne organic substances in PDMS-foam samplers GC-MS AMMLiU Ivan Kozyatnyk,Real Sample,S3B,"Fri, 11/01/2024 - 13:00","Thu, 12/19/2024 - 13:00",25111,Linkoping,Sweden,58.40217554,15.61832655,Indoor air - Office,,,,,,,,indoor-air
25121,NTS of airborne organic substances in PDMS-foam samplers GC-MS AMMLiU Ivan Kozyatnyk,Blank Sample,FB4A,"Wed, 12/18/2024 - 12:30","Thu, 12/19/2024 - 13:00",25111,Linkoping,Sweden,58.40217554,15.61832655,Indoor air - Office,Urban,,,,,,,indoor-air
25122,NTS of airborne organic substances in PDMS-foam samplers GC-MS AMMLiU Ivan Kozyatnyk,Blank Sample,FB4B,"Wed, 12/18/2024 - 12:30","Thu, 12/19/2024 - 13:00",25111,Linkoping,Sweden,58.40217554,15.61832655,Indoor air - Office,Urban,,,,,,,indoor-air
25123,NTS of airborne organic substances in PDMS-foam samplers GC-MS AMMLiU Ivan Kozyatnyk,Real Sample,S4A,"Wed, 12/18/2024 - 12:30","Thu, 12/19/2024 - 13:00",25111,Linkoping,Sweden,58.40217554,15.61832655,Indoor air - Office,Urban,,,,,,,indoor-air
25124,NTS of airborne organic substances in PDMS-foam samplers GC-MS AMMLiU Ivan Kozyatnyk,Real Sample,S4B,"Wed, 12/18/2024 - 12:30","Thu, 12/19/2024 - 13:00",25111,Linkoping,Sweden,58.40217554,15.61832655,Indoor air - Office,Urban,,,,,,,indoor-air
