ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth,matrix,Capacity population equivalent,Daily flow m^3/day,MES Dry matter content (mg/L),River basin,Sludge retention time (days),Type of industry,Type of tertiary treatment,Type of treatment plant,Type of wastewater,Type of wastewater sample,Volume of the reactor (m^3),Wastewater fraction,Latitude.1,Groundwater fraction
22930,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt PN1 sampling 1 pos-2,"Tue, 08/08/2023 - 13:00","Thu, 10/05/2023 - 18:00",22923,,,49.564496,8.168934,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22931,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt PN1 sampling 1 pos-3,"Tue, 08/08/2023 - 13:00","Thu, 10/05/2023 - 18:30",22923,,,49.564496,8.168934,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22932,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt PN1 sampling 2 pos-1,"Mon, 09/11/2023 - 13:00","Fri, 10/06/2023 - 17:30",22923,,,49.564496,8.168934,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22933,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt PN1 sampling 2 pos-2,"Mon, 09/11/2023 - 13:00","Fri, 10/06/2023 - 18:00",22923,,,49.564496,8.168934,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22934,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt PN1 sampling 2 pos-3,"Mon, 09/11/2023 - 13:00","Fri, 10/06/2023 - 18:30",22923,,,49.564496,8.168934,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22935,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt PN1 sampling 1 neg-1,"Tue, 08/08/2023 - 13:00","Tue, 10/10/2023 - 20:00",22924,,,49.564496,8.168934,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22936,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt PN1 sampling 1 neg-2,"Tue, 08/08/2023 - 13:00","Tue, 10/10/2023 - 20:30",22924,,,49.564496,8.168934,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22937,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt PN1 sampling 1 neg-3,"Tue, 08/08/2023 - 13:00","Tue, 10/10/2023 - 21:00",22924,,,49.564496,8.168934,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22938,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt PN1 sampling 2 neg-1,"Mon, 09/11/2023 - 13:00","Mon, 10/09/2023 - 20:30",22924,,,49.564496,8.168934,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22939,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt PN1 sampling 2 neg-2,"Mon, 09/11/2023 - 13:00","Mon, 10/09/2023 - 21:00",22924,,,49.564496,8.168934,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22940,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt PN1 sampling 2 neg-3,"Mon, 09/11/2023 - 13:00","Mon, 10/09/2023 - 21:30",22924,,,49.564496,8.168934,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22941,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Obersülzen PN2 sampling 1 pos-1,"Tue, 08/08/2023 - 13:00","Thu, 10/05/2023 - 22:00",22923,,,49.569146,8.21392,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22942,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Obersülzen PN2 sampling 1 pos-2,"Tue, 08/08/2023 - 13:00","Thu, 10/05/2023 - 22:30",22923,,,49.569146,8.21392,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22943,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Obersülzen PN2 sampling 1 pos-3,"Tue, 08/08/2023 - 13:00","Thu, 10/05/2023 - 23:00",22923,,,49.569146,8.21392,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22944,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Obersülzen PN2 sampling 2 pos-1,"Mon, 09/11/2023 - 13:00","Wed, 10/25/2023 - 18:30",22923,,,49.569146,8.21392,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22945,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Obersülzen PN2 sampling 2 pos-2,"Mon, 09/11/2023 - 13:00","Wed, 10/25/2023 - 19:00",22923,,,49.569146,8.21392,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22946,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Obersülzen PN2 sampling 2 pos-3,"Mon, 09/11/2023 - 13:00","Wed, 10/25/2023 - 19:30",22923,,,49.569146,8.21392,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22947,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Obersülzen PN2 sampling 1 neg-1,"Tue, 08/08/2023 - 13:00","Tue, 10/10/2023 - 01:00",22924,,,49.569146,8.21392,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22948,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Obersülzen PN2 sampling 1 neg-2,"Tue, 08/08/2023 - 13:00","Tue, 10/10/2023 - 01:30",22924,,,49.569146,8.21392,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22949,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Obersülzen PN2 sampling 1 neg-3,"Tue, 08/08/2023 - 13:00","Tue, 10/10/2023 - 02:00",22924,,,49.569146,8.21392,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22950,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Obersülzen PN2 sampling 2 neg-1,"Mon, 09/11/2023 - 13:00","Thu, 10/26/2023 - 20:30",22924,,,49.569146,8.21392,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22951,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Obersülzen PN2 sampling 2 neg-2,"Mon, 09/11/2023 - 13:00","Thu, 10/26/2023 - 21:00",22924,,,49.569146,8.21392,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22952,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Obersülzen PN2 sampling 2 neg-3,"Mon, 09/11/2023 - 13:00","Thu, 10/26/2023 - 21:30",22924,,,49.569146,8.21392,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22955,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt PN1 sampling 1 pos-1,"Tue, 08/08/2023 - 13:00","Thu, 10/05/2023 - 17:30",22923,,,49.564496,8.168934,River water,,,,,,,,Landgraben,,,,,surface-water,,,,,,,,,,,,,,
22979,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Rhine monitoring station Worms pos-1,"Mon, 09/11/2023 - 13:00","Fri, 10/06/2023 - 13:00",22923,,,49.630154,8.378443,River water,,,,,,,,Rhine,,,,,surface-water,,,,,,,,,,,,,,
22980,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Rhine monitoring station Worms pos-2,"Mon, 09/11/2023 - 13:00","Fri, 10/06/2023 - 13:30",22923,,,49.630154,8.378443,River water,,,,,,,,Rhine,,,,,surface-water,,,,,,,,,,,,,,
22981,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Rhine monitoring station Worms pos-3,"Mon, 09/11/2023 - 13:00","Fri, 10/06/2023 - 14:00",22923,,,49.630154,8.378443,River water,,,,,,,,Rhine,,,,,surface-water,,,,,,,,,,,,,,
