ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Alive or not,Basis of measurement,Biota species name (in Latin),Distance from the river source (km),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Proxy pressures,River basin name,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country,matrix
19023,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 6,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,71,,Netherlands,biota
19024,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 5,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherland,1,Terrestrial environment,,,,Bird (22511),Liver,70,,Netherlands,biota
19025,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 5,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherland,1,Terrestrial environment,,,,Bird (22511),Liver,70,,Netherlands,biota
19026,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 4,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,71,,Netherlands,biota
19027,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 4,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,71,,Netherlands,biota
19028,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 3,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,70,,Netherlands,biota
19029,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 3,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,70,,Netherlands,biota
19030,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 2,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,69,,Netherlands,biota
19031,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 2,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,69,,Netherlands,biota
19032,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 1,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,70,,Netherlands,biota
19033,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 1,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,70,,Netherlands,biota
