ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Groundwater fraction,River basin name,Proxy pressures,Type of sampling depth,Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L)
22967,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 1 pos-1,"Tue, 08/08/2023 - 13:00","Fri, 10/06/2023 - 00:00",22923,,,49.57431,8.25272,,,,,,,,
22968,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 1 pos-2,"Tue, 08/08/2023 - 13:00","Fri, 10/06/2023 - 00:30",22923,,,49.57431,8.25272,,,,,,,,
22969,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 1 pos-3,"Tue, 08/08/2023 - 13:00","Fri, 10/06/2023 - 01:00",22923,,,49.57431,8.25272,,,,,,,,
22970,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 2 pos-1,"Mon, 09/11/2023 - 13:00","Fri, 10/06/2023 - 15:00",22923,,,49.57431,8.25272,,,,,,,,
22971,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 2 pos-2,"Mon, 09/11/2023 - 13:00","Fri, 10/06/2023 - 15:30",22923,,,49.57431,8.25272,,,,,,,,
22972,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 2 pos-3,"Mon, 09/11/2023 - 13:00","Fri, 10/06/2023 - 16:00",22923,,,49.57431,8.25272,,,,,,,,
22973,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 1 neg-1,"Tue, 08/08/2023 - 13:00","Tue, 10/10/2023 - 03:00",22924,,,49.57431,8.25272,,,,,,,,
22974,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 1 neg-2,"Tue, 08/08/2023 - 13:00","Tue, 10/10/2023 - 03:30",22924,,,49.57431,8.25272,,,,,,,,
22975,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 1 neg-3,"Tue, 08/08/2023 - 13:00","Tue, 10/10/2023 - 04:00",22924,,,49.57431,8.25272,,,,,,,,
22976,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 2 neg-1,"Mon, 09/11/2023 - 13:00","Tue, 10/10/2023 - 18:00",22924,,,49.57431,8.25272,,,,,,,,
22977,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 2 neg-2,"Mon, 09/11/2023 - 13:00","Tue, 10/10/2023 - 18:30",22924,,,49.57431,8.25272,,,,,,,,
22978,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 2 neg-3,"Mon, 09/11/2023 - 13:00","Fri, 10/13/2023 - 15:00",22924,,,49.57431,8.25272,,,,,,,,
22985,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1368 Bobenheim-Roxheim pos-1,"Mon, 09/11/2023 - 13:00","Wed, 10/25/2023 - 20:30",22923,,,49.576097,8.420174,,,,,,,,
22986,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1368 Bobenheim-Roxheim pos-2,"Mon, 09/11/2023 - 13:00","Wed, 10/25/2023 - 21:00",22923,,,49.576097,8.420174,,,,,,,,
22987,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1368 Bobenheim-Roxheim pos-3,"Mon, 09/11/2023 - 13:00","Wed, 10/25/2023 - 21:30",22923,,,49.576097,8.420174,,,,,,,,
22988,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1368 Bobenheim-Roxheim neg-1,"Mon, 09/11/2023 - 13:00","Thu, 10/26/2023 - 22:30",22924,,,49.576097,8.420174,,,,,,,,
