ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,River basin name,Proxy pressures,Type of sampling depth,Distance from the river source (km),Depth (m),Sludge total organic carbon (% of total dry weight)
21783,EMBLAS-II (Survey 2017),Blank Sample,Sediment Reagent Blank,"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",10,Odesa,Ukraine,43.52027,36.0595,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,2200,
21784,EMBLAS-II (Survey 2017),Real Sample,Sediment JOSS08,"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",10,Odesa,Ukraine,43.52027,36.0595,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,2200,
21785,EMBLAS-II (Survey 2017),Real Sample,Sediment JOSS04,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",10,Odesa,Ukraine,44.11272,31.56897,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1000,
21786,EMBLAS-II (Survey 2017),Real Sample,Sediment JOSS01,"Mon, 08/28/2017 - 22:00","Mon, 07/24/2017 - 22:00",10,Odesa,Ukraine,46.3863,31.02075,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,50,
21787,EMBLAS-II (Survey 2017),Real Sample,Sediment A-1',"Sat, 08/26/2017 - 22:00","Sat, 07/22/2017 - 22:00",10,Tulcea,Romania,45.175,29.37,Black Sea/Danube river,(Whole) Fraction < 2mm,,,Black Sea/Danube river,,Spot sampling,,50,
21788,EMBLAS-II (Survey 2017),Real Sample,Sediment A-1,"Sat, 08/26/2017 - 22:00","Sat, 07/22/2017 - 22:00",10,Tulcea,Romania,45.13869,29.16975,Black Sea/Danube river,(Whole) Fraction < 2mm,,,Black Sea/Danube river,,Spot sampling,,50,
21820,EMBLAS-II (Survey 2017),Blank Sample,Sediment Reagent Blank,"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",11,Odesa,Ukraine,43.52027,36.0595,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,2200,
21821,EMBLAS-II (Survey 2017),Real Sample,Sediment JOSS08,"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",11,Odesa,Ukraine,43.52027,36.0595,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,2200,
21822,EMBLAS-II (Survey 2017),Real Sample,Sediment JOSS04,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",11,Odesa,Ukraine,44.11272,31.56897,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1000,
21823,EMBLAS-II (Survey 2017),Real Sample,Sediment JOSS01,"Mon, 08/28/2017 - 22:00","Mon, 07/24/2017 - 22:00",11,Odesa,Ukraine,46.3863,31.02075,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,50,
21824,EMBLAS-II (Survey 2017),Real Sample,Sediment A-1',"Sat, 08/26/2017 - 22:00","Sat, 07/22/2017 - 22:00",11,Tulcea,Romania,45.175,29.37,Black Sea/Danube river,(Whole) Fraction < 2mm,,,Black Sea/Danube river,,Spot sampling,,50,
21825,EMBLAS-II (Survey 2017),Real Sample,Sediment A-1,"Sat, 08/26/2017 - 22:00","Sat, 07/22/2017 - 22:00",11,Tulcea,Romania,45.13869,29.16975,Black Sea/Danube river,(Whole) Fraction < 2mm,,,Black Sea/Danube river,,Spot sampling,,50,
