ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Sample Matrix,Name of wider sampling area,Environment Category,Sampling height above sea level (m),Air renewal,Air renewal Nrh,Air filtered,Air filtered type,Sampling height above sea level (m).1,Temperature (°C),Barometric pressure (kPa),Relative humidity (%),Wind speed (km/h),Wind direction
24150,NTS of airborne organic substances in PDMS-foam samplers GC-MS NILU Jean,Real Sample,Sample 4A = indoor sample from a house in Oslo,,,24106,Oslo,Norway,,,,,,,,,,,,,,,,
24151,NTS of airborne organic substances in PDMS-foam samplers GC-MS NILU Jean,Real Sample,Sample 4B = indoor sample from a house in Oslo,,,24106,Oslo,Norway,,,,,,,,,,,,,,,,
