ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth,matrix,Capacity population equivalent,Daily flow m^3/day,MES Dry matter content (mg/L),River basin,Sludge retention time (days),Type of industry,Type of tertiary treatment,Type of treatment plant,Type of wastewater,Type of wastewater sample,Volume of the reactor (m^3),Wastewater fraction,Latitude.1
22866,6rbmp,Real Sample,Surface water from river Kargipinari WWTP in Mersin ID137,"Mon, 05/15/2023 - 00:00","Tue, 06/13/2023 - 00:00",22864,Mersin,,36.664374,34.42937,River water,Dissolved fraction,,,,8.27,30.7,,,,,,Spot sampling,surface-water,,,,,,,,,,,,,
22869,6rbmp,Real Sample,Effluent wastewater from MESKI Mezitli WWTP in Mersin ID138,"Mon, 05/15/2023 - 11:33","Thu, 06/01/2023 - 00:00",22864,Mersin,,36.736163,34.495652,,,,,,7.22,26.0,,,,,,,wastewater,,,,,,,,,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,36.736163
22870,6rbmp,Real Sample,Influent wastewater from Petrol ofisi Mersin branch in Mersin ID139,"Tue, 05/16/2023 - 13:39","Thu, 06/01/2023 - 00:00",22864,Mersin,,36.810632,34.660859,,,,,,6.93,23.4,,,,,,,wastewater,,,,,,,,,Waste water - Industrial,Influent wastewater,,Dissolved fraction,36.810632
22871,6rbmp,Real Sample,Effluent wastewater from MESBAS Mersin free zone operator in Mersin ID140,"Tue, 05/16/2023 - 10:19","Thu, 06/01/2023 - 00:00",22864,Mersin,,36.806861,34.672126,,,,,,6.1,25.9,,,,,,,wastewater,,,,,,,,,Waste water - Industrial,Effluent wastewater,,Dissolved fraction,36.806861
22872,6rbmp,Real Sample,Influent wastewater from MESBAS Mersin free zone operator in Mersin ID141,"Tue, 05/16/2023 - 00:00","Thu, 06/01/2023 - 00:00",22864,Mersin,,36.806732,34.672246,,,,,,6.57,26.9,,,,,,,wastewater,,,,,,,,,,Influent wastewater,,,36.806732
22873,6rbmp,Real Sample,Effluent wastewater from Petrol ofisi Mersin branch in Mersin ID142,"Tue, 05/16/2023 - 00:00","Thu, 06/01/2023 - 00:00",22864,Mersin,,36.810684,34.661032,,,,,,7.01,24.7,,,,,,,wastewater,,,,,,,,,Waste water - Industrial,Effluent wastewater,,Dissolved fraction,36.810684
22874,6rbmp,Real Sample,"Effluent wastewater from CMC consumer medical care, cottom, packaging industry in Mersin ID143","Tue, 05/16/2023 - 00:00","Thu, 06/01/2023 - 00:00",22864,Mersin,,36.810389,34.66888,,,,,,6.85,27.3,,,,,,,wastewater,,,,,,,,,Waste water - Industrial,Effluent wastewater,,Dissolved fraction,36.810389
22875,6rbmp,Real Sample,Influent wastewater from MESKI Mezitli WWTP in Mersin ID144,"Mon, 05/15/2023 - 00:00","Thu, 06/01/2023 - 00:00",22864,Mersin,,36.73818,34.494786,,,,,,7.64,23.6,,,,,,,wastewater,,,,,,,,,,Influent wastewater,,Dissolved fraction,36.73818
22876,6rbmp,Real Sample,Effluent wastewater from MESKI Kargipinari WWTP in Mersin ID145,"Mon, 05/15/2023 - 00:00","Thu, 06/01/2023 - 00:00",22864,Mersin,,36.6673,34.42367,,,,,,7.28,26.6,,,,,,,wastewater,,,,,,,,,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,36.6673
22877,6rbmp,Real Sample,Influent wastewater from AKAN depot in Mersin ID146,"Tue, 05/16/2023 - 00:00","Thu, 06/01/2023 - 00:00",22864,Mersin,,36.64606,34.354821,,,,,,7.58,24.8,,,,,,,wastewater,,,,,,,,,Waste water - Industrial,Influent wastewater,,Dissolved fraction,36.64606
