ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth,matrix
19472,Demonstration study for passive sampling,Blank Sample,POCIS Blank 3 BRGM,"Fri, 08/03/2018 - 22:00","Fri, 06/29/2018 - 22:00",77,Paris,France,0.1,0.1,,Dissolved fraction,,,0,,,,Blank,,,,,surface-water
19473,Demonstration study for passive sampling,Blank Sample,POCIS Blank 3 BRGM,"Fri, 08/03/2018 - 22:00","Fri, 06/29/2018 - 22:00",76,Paris,France,0.1,0.1,,Dissolved fraction,,,0,,,,Blank,,,,,surface-water
19476,Demonstration study for passive sampling,Blank Sample,POCIS Blank 2 BRGM,"Wed, 06/27/2018 - 22:00","Wed, 05/23/2018 - 22:00",77,Paris,France,0.1,0.1,,Dissolved fraction,,,0,,,,Blank,,,,,surface-water
19477,Demonstration study for passive sampling,Blank Sample,POCIS Blank 2 BRGM,"Wed, 06/27/2018 - 22:00","Wed, 05/23/2018 - 22:00",76,Paris,France,0.1,0.1,,Dissolved fraction,,,0,,,,Blank,,,,,surface-water
19478,Demonstration study for passive sampling,Blank Sample,POCIS Blank 1 BRGM,"Wed, 05/30/2018 - 22:00","Wed, 04/25/2018 - 22:00",77,Paris,France,0.1,0.1,,Dissolved fraction,,,0,,,,Blank,,,,,surface-water
19479,Demonstration study for passive sampling,Blank Sample,POCIS Blank 1 BRGM,"Wed, 05/30/2018 - 22:00","Wed, 04/25/2018 - 22:00",76,Paris,France,0.1,0.1,,Dissolved fraction,,,0,,,,Blank,,,,,surface-water
19505,Demonstration study for passive sampling,Blank Sample,Water Blank 3 BRGM,"Wed, 06/06/2018 - 22:00","Wed, 05/02/2018 - 22:00",77,Paris,France,0.1,0.1,,Dissolved fraction,,,0,,,,Blank,,,,,surface-water
19506,Demonstration study for passive sampling,Blank Sample,Water Blank 3 BRGM,"Wed, 06/06/2018 - 22:00","Wed, 05/02/2018 - 22:00",76,Paris,France,0.1,0.1,,Dissolved fraction,,,0,,,,Blank,,,,,surface-water
19507,Demonstration study for passive sampling,Blank Sample,Water Blank 2 BRGM,"Tue, 05/22/2018 - 22:00","Tue, 04/17/2018 - 22:00",77,Paris,France,0.1,0.1,,Dissolved fraction,,,0,,,,,Blank,,,,surface-water
19508,Demonstration study for passive sampling,Blank Sample,Water Blank 2 BRGM,"Tue, 05/22/2018 - 22:00","Tue, 04/17/2018 - 22:00",76,Paris,France,0.1,0.1,,Dissolved fraction,,,0,,,,,Blank,,,,surface-water
19509,Demonstration study for passive sampling,Blank Sample,Water Blank 1 BRGM,"Fri, 04/13/2018 - 22:00","Fri, 03/09/2018 - 22:00",77,Paris,France,0.1,0.1,,Dissolved fraction,,,0,,,,Blank,,,,,surface-water
19510,Demonstration study for passive sampling,Blank Sample,Water Blank 1 BRGM,"Fri, 04/13/2018 - 22:00","Fri, 03/09/2018 - 22:00",76,Paris,France,0.1,0.1,,Dissolved fraction,,,0,,,,Blank,,,,,surface-water
