ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,River basin name,Proxy pressures,Type of sampling depth,Distance from the river source (km),Depth (m),Sludge total organic carbon (% of total dry weight)
22337,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Poland HELCOM pre-EMPT 13,"Fri, 06/11/2021 - 00:00","Tue, 01/11/2022 - 00:00",10,Gdansk,,54.833333,19.333333,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,0.1,
22338,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Poland HELCOM pre-EMPT 13,"Fri, 06/11/2021 - 00:00","Tue, 01/11/2022 - 00:00",11,Gdansk,,54.833333,19.333333,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,0.1,
22339,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Poland HELCOM pre-EMPT 14,"Wed, 06/09/2021 - 00:00","Tue, 01/11/2022 - 00:00",10,Bornholm,,55.21723,16.04556,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,0.1,
22340,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Poland HELCOM pre-EMPT 14,"Wed, 06/09/2021 - 00:00","Tue, 01/11/2022 - 00:00",11,Bornholm,,55.21723,16.04556,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,0.1,
22341,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Poland HELCOM pre-EMPT 15,"Tue, 06/08/2021 - 00:00","Tue, 01/11/2022 - 00:00",10,Gotland,,55.553,18.4,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,0.1,
22342,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Poland HELCOM pre-EMPT 15,"Tue, 06/08/2021 - 00:00","Tue, 01/11/2022 - 00:00",11,Gotland,,55.553,18.4,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,0.1,
22389,HELCOM pre-EMPT,Blank Sample,Procedural blank sediments,"Fri, 08/20/2021 - 00:00","Tue, 01/11/2022 - 00:00",10,Helsinki,,60.174857,25.003935,,(Whole) Fraction < 2mm,,,,,Spot sampling,,0.1,
22390,HELCOM pre-EMPT,Blank Sample,Procedural blank sediments,"Fri, 08/20/2021 - 00:00","Tue, 01/11/2022 - 00:00",11,Helsinki,,60.174857,25.003935,,(Whole) Fraction < 2mm,,,,,Spot sampling,,0.1,
22669,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 63,"Wed, 09/15/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Alhamn,,65.403098,22.000766,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22670,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 64,"Sat, 09/11/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Ytterursviken,,64.693656,21.177764,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22671,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 65,"Wed, 09/08/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Bredsand,,62.348701,17.39310601,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22672,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 66,"Thu, 10/07/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Saltsjon,,59.332578,18.217272,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22673,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 67,"Mon, 09/27/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Harnas,,60.661694,17.394199,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22674,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 68,"Wed, 10/06/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Osthammar,,60.258513,18.390188,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22675,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 69,"Sat, 10/09/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Nykoping,,58.742948,17.066087,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22676,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 70,"Tue, 10/26/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Finnagarden,,57.41254,12.047764,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22677,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 71,"Wed, 10/27/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Goteborg,,57.680676,11.76959201,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22678,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 72,"Sun, 09/19/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Bomhus,,60.686767,17.212815,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22679,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 73,"Thu, 09/23/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Visby,,57.638647,18.283105,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22680,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 74,"Sun, 10/24/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Visby,,57.635176,18.241614,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22681,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 75,"Sun, 10/17/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Drosebo,,56.14981601,14.76889,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22682,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 76,"Tue, 10/19/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Vastra,,58.422798,11.658071,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22683,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 77,"Sat, 10/23/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Landskrona,,55.86566301,12.823531,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22684,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 78,"Sat, 10/16/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Blankaholm,,57.5885771,16.531633,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22685,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 79,"Sat, 10/16/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Blankaholm,,57.584018,16.522325,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22686,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 80,"Fri, 10/22/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Henriksnas,,57.577099,16.588095,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22687,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 81,"Tue, 10/26/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Norrkoping,,56.672415,12.085057,Baltic Sea,(Whole) Fraction < 2mm,,,12.085057,,Spot sampling,,,
22688,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 82,"Wed, 10/13/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Norrkoping,,58.620384,16.184542,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22689,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 83,"Sat, 10/23/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Norrkoping,,58.63539,16.304598,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22690,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 84,"Wed, 05/26/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Karlskrona,,55.543307,16.389878,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22696,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Denmark HELCOM pre-EMPT 90,"Fri, 01/01/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Kregme,,55.924667,12.023333,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22697,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Denmark HELCOM pre-EMPT 91,"Fri, 01/01/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Juvre,,55.181667,8.6,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22698,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Denmark HELCOM pre-EMPT 92,"Fri, 01/01/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Svenstrup,,55.4662,9.748367,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22699,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Denmark HELCOM pre-EMPT 93,"Fri, 01/01/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Struer,,56.508833,8.678833,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22700,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Denmark HELCOM pre-EMPT 94,"Fri, 01/01/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Skive,,56.620833,9.07583301,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22703,HELCOM pre-EMPT,Blank Sample,Procedural blank sediments pre-EMPT 37-94,"Fri, 08/20/2021 - 00:00","Thu, 06/02/2022 - 00:00",10,Helsinki,,60.174857,25.003935,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22741,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 63 Neg ESI,"Wed, 09/15/2021 - 00:00","Mon, 06/06/2022 - 00:00",11,Alhamn,,65.403098,22.000766,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22742,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 64 Neg ESI,"Sat, 09/11/2021 - 00:00","Mon, 06/06/2022 - 00:00",11,Ytterursviken,,64.693656,21.177764,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22743,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 65 Neg ESI,"Wed, 09/08/2021 - 00:00","Mon, 06/06/2022 - 00:00",11,Bredsand,,62.348701,17.39310599,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22744,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 66 Neg ESI,"Thu, 10/07/2021 - 00:00","Mon, 06/06/2022 - 00:00",11,Saltsjon,,59.332578,18.217272,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22745,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 67 Neg ESI,"Mon, 09/27/2021 - 00:00","Mon, 06/06/2022 - 00:00",11,Harnas,,60.661694,17.394199,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22746,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 68 Neg ESI,"Wed, 10/06/2021 - 00:00","Mon, 06/06/2022 - 00:00",11,Osthammar,,60.258513,18.390188,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22747,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 69 Neg ESI,"Sat, 10/09/2021 - 00:00","Mon, 06/06/2022 - 00:00",11,Nykoping,,58.742948,17.066087,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
22748,HELCOM pre-EMPT,Real Sample,Top layer sediment from Baltic Sea in Sweden HELCOM pre-EMPT 70 Neg ESI,"Tue, 10/26/2021 - 00:00","Mon, 06/06/2022 - 00:00",11,Finnagarden,,57.41254,12.047764,Baltic Sea,(Whole) Fraction < 2mm,,,Baltic Sea,,Spot sampling,,,
