ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Groundwater fraction,River basin name,Proxy pressures,Type of sampling depth,Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L)
25362,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,groundwater sample 132,"Wed, 05/10/2023 - 13:00","Wed, 05/17/2023 - 13:00",23250,,Germany,,,Whole water with no separation of liquid and SPM phases,,,,,,,
25363,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,groundwater sample 141,"Wed, 05/10/2023 - 13:00","Wed, 05/17/2023 - 13:00",23250,,Germany,,,Whole water with no separation of liquid and SPM phases,,,,,,,
25364,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,groundwater sample 215,"Wed, 05/10/2023 - 13:00","Wed, 05/17/2023 - 13:00",23250,,Germany,,,Whole water with no separation of liquid and SPM phases,,,,,,,
25365,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,groundwater sample 287,"Wed, 05/10/2023 - 13:00","Wed, 05/17/2023 - 13:00",23250,,Germany,,,Whole water with no separation of liquid and SPM phases,,,,,,,
25366,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,groundwater sample TB,"Wed, 05/10/2023 - 13:00","Wed, 05/17/2023 - 13:00",23250,,Germany,,,Whole water with no separation of liquid and SPM phases,,,,,,,
25376,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,groundwater sample 132,"Wed, 05/10/2023 - 13:00","Wed, 05/17/2023 - 13:00",23251,,Germany,,,Whole water with no separation of liquid and SPM phases,,,,,,,
25377,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,groundwater sample 141,"Wed, 05/10/2023 - 13:00","Wed, 05/17/2023 - 13:00",23251,,Germany,,,,,,,,,,
25378,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,groundwater sample 215,"Wed, 05/10/2023 - 13:00","Wed, 05/17/2023 - 13:00",23251,,Germany,,,,,,,,,,
25379,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,groundwater sample 287,"Wed, 05/10/2023 - 13:00","Wed, 05/17/2023 - 13:00",23251,,Germany,,,,,,,,,,
25380,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,groundwater sample TB,"Wed, 05/10/2023 - 13:00","Wed, 05/17/2023 - 13:00",23251,,Germany,,,,,,,,,,
