ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,River basin name,Proxy pressures,Type of sampling depth,Distance from the river source (km),Depth (m),Sludge total organic carbon (% of total dry weight)
21625,Siverskyi Donets Monitoring,Blank Sample,Blank for sediment samples,"Mon, 09/24/2018 - 22:00","Mon, 08/20/2018 - 22:00",11,Kostyantynivka,Ukraine,48.53,37.72,Donets River Basin,(Whole) Fraction < 2mm,,,Donets River Basin,,Spot sampling,,5,
21626,Siverskyi Donets Monitoring,Blank Sample,Blank for sediment samples,"Mon, 09/24/2018 - 22:00","Mon, 08/20/2018 - 22:00",10,Kostyantynivka,Ukraine,48.53,37.72,Donets River Basin,(Whole) Fraction < 2mm,,,Donets River Basin,,Spot sampling,,5,
21627,Siverskyi Donets Monitoring,Real Sample,Sed Kleban Byk reservoir,"Mon, 09/24/2018 - 22:00","Mon, 08/20/2018 - 22:00",11,Kostyantynivka,Ukraine,48.441426,37.754362,Donets River Basin,(Whole) Fraction < 2mm,,,Donets River Basin,,Spot sampling,,5,
21628,Siverskyi Donets Monitoring,Real Sample,Sed Kleban Byk reservoir,"Mon, 09/24/2018 - 22:00","Mon, 08/20/2018 - 22:00",10,Kostyantynivka,Ukraine,48.441426,37.754362,Donets River Basin,(Whole) Fraction < 2mm,,,Donets River Basin,,Spot sampling,,5,
21629,Siverskyi Donets Monitoring,Real Sample,Sed Lysychansk (428 km),"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",11,Lysychans'k,Ukraine,48.91665,38.453586,Donets River Basin,(Whole) Fraction < 2mm,,,Donets River Basin,,Spot sampling,,5,
21630,Siverskyi Donets Monitoring,Real Sample,Sed Lysychansk (428 km),"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",10,Lysychans'k,Ukraine,48.91665,38.453586,Donets River Basin,(Whole) Fraction < 2mm,,,Donets River Basin,,Spot sampling,,5,
21631,Siverskyi Donets Monitoring,Real Sample,Sed Bakhmutka river,"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",11,Kostyantynivka,Ukraine,48.559532,38.023995,Donets River Basin,(Whole) Fraction < 2mm,,,Donets River Basin,,Spot sampling,,5,
21632,Siverskyi Donets Monitoring,Real Sample,Sed Bakhmutka river,"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",10,Kostyantynivka,Ukraine,48.559532,38.023995,Donets River Basin,(Whole) Fraction < 2mm,,,Donets River Basin,,Spot sampling,,5,
21633,Siverskyi Donets Monitoring,Real Sample,Sed Kryvyi Torets river at Karlivska dam,"Mon, 09/24/2018 - 22:00","Mon, 08/20/2018 - 22:00",11,Druzhkivka,Ukraine,48.602686,37.561002,Donets River Basin,(Whole) Fraction < 2mm,,,Donets River Basin,,Spot sampling,,5,
21634,Siverskyi Donets Monitoring,Real Sample,Sed Kryvyi Torets river at Karlivska dam,"Mon, 09/24/2018 - 22:00","Mon, 08/20/2018 - 22:00",10,Druzhkivka,Ukraine,48.602686,37.561002,Donets River Basin,(Whole) Fraction < 2mm,,,Donets River Basin,,Spot sampling,,5,
21635,Siverskyi Donets Monitoring,Real Sample,Sed Kazannyi Torets river at Raygorodok village,"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",11,Slov'yanoserbs'k,Ukraine,48.917078,37.733307,Donets River Basin,(Whole) Fraction < 2mm,,,Donets River Basin,,Spot sampling,,5,
21636,Siverskyi Donets Monitoring,Real Sample,Sed Kazannyi Torets river at Raygorodok village,"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",10,Slov'yanoserbs'k,Ukraine,48.917078,37.733307,Donets River Basin,(Whole) Fraction < 2mm,,,Donets River Basin,,Spot sampling,,5,
21637,Siverskyi Donets Monitoring,Real Sample,Sed Oskil river at Chervonyi Oskil village,"Wed, 09/26/2018 - 22:00","Wed, 08/22/2018 - 22:00",11,Kharkiv,Ukraine,49.170724,37.437593,Donets River Basin,(Whole) Fraction < 2mm,,,Donets River Basin,,Spot sampling,,5,
21638,Siverskyi Donets Monitoring,Real Sample,Sed Oskil river at Chervonyi Oskil village,"Wed, 09/26/2018 - 22:00","Wed, 08/22/2018 - 22:00",10,Kharkiv,Ukraine,49.170724,37.437593,Donets River Basin,(Whole) Fraction < 2mm,,,Donets River Basin,,Spot sampling,,5,
21639,Siverskyi Donets Monitoring,Real Sample,Sed Udy river at Eskhar village,"Wed, 09/26/2018 - 22:00","Wed, 08/22/2018 - 22:00",11,Eskhar,Ukraine,49.788775,36.594185,Donets River Basin,(Whole) Fraction < 2mm,,,Donets River Basin,,Spot sampling,,5,
21640,Siverskyi Donets Monitoring,Real Sample,Sed Udy river at Eskhar village,"Wed, 09/26/2018 - 22:00","Wed, 08/22/2018 - 22:00",10,Eskhar,Ukraine,49.788775,36.594185,Donets River Basin,(Whole) Fraction < 2mm,,,Donets River Basin,,Spot sampling,,5,
21641,Siverskyi Donets Monitoring,Real Sample,Sed Ohurtsovo village (944 km),"Wed, 09/26/2018 - 22:00","Wed, 08/22/2018 - 22:00",11,Rubizhne,Ukraine,50.176532,36.844251,Donets River Basin,(Whole) Fraction < 2mm,,,Donets River Basin,,Spot sampling,,5,
21642,Siverskyi Donets Monitoring,Real Sample,Sed Ohurtsovo village (944 km),"Wed, 09/26/2018 - 22:00","Wed, 08/22/2018 - 22:00",10,Rubizhne,Ukraine,50.176532,36.844251,Donets River Basin,(Whole) Fraction < 2mm,,,Donets River Basin,,Spot sampling,,5,
