ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth,matrix
22428,EMNAT - surface water,Real Sample,Surface water from Givet,,,70,,France,,,River water,Dissolved fraction,,,,,,,,,,,,surface-water
22429,EMNAT - surface water,Real Sample,Surface water from Lumes,,,70,,France,,,River water,Dissolved fraction,,,,,,,,,,,,surface-water
22430,EMNAT - surface water,Real Sample,Surface water from Moselle,,,70,,France,,,River water,Dissolved fraction,,,,,,,,,,,,surface-water
22431,EMNAT - surface water,Real Sample,Surface water from Arc,,,70,,France,,,River water,Dissolved fraction,,,,,,,,,,,,surface-water
22432,EMNAT - surface water,Real Sample,Surface water from Loire,,,70,,France,,,River water,Dissolved fraction,,,,,,,,,,,,surface-water
22433,EMNAT - surface water,Real Sample,Surface water from Guitres,,,70,,France,,,River water,Dissolved fraction,,,,,,,,,,,,surface-water
22434,EMNAT - surface water,Real Sample,Surface water from Escaut,,,70,,France,,,River water,Dissolved fraction,,,,,,,,,,,,surface-water
22435,EMNAT - surface water,Blank Sample,System blank,,,70,,France,,,,Dissolved fraction,,,,,,,,,,,,surface-water
22436,EMNAT - surface water,Blank Sample,Procedural blank,,,70,,France,48.02977,17.2838,,Dissolved fraction,,,,,,,,,,,,surface-water
22437,EMNAT - surface water,Blank Sample,Procedural blank,,,70,,France,48.02977,17.2838,,,,,,,,,,,,,,surface-water
