ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Sample Matrix,Location,Category,Category.1,Category.2,Proxy pressures,Proxy pressures.1,Proxy pressures.2,matrix
23807,NTS of airborne organic substances in PDMS-foam samplers LC-MS IDAEA Manuel,Real Sample,Sample 2A Positive,"Mon, 11/11/2024 - 11:00","Fri, 02/21/2025 - 11:00",23806,,,,,Indoor air - Office,,,,,,,,indoor-air
23808,NTS of airborne organic substances in PDMS-foam samplers LC-MS IDAEA Manuel,Real Sample,Sample 2B Positive,"Mon, 11/11/2024 - 11:00","Fri, 02/21/2025 - 11:00",23806,,,,,Indoor air - Office,,,,,,,,indoor-air
23809,NTS of airborne organic substances in PDMS-foam samplers LC-MS IDAEA Manuel,Real Sample,Sample 3A pos,"Mon, 11/11/2024 - 11:09","Fri, 02/21/2025 - 11:09",23806,,,,,Indoor air - Office,,,,,,,,indoor-air
23810,NTS of airborne organic substances in PDMS-foam samplers LC-MS IDAEA Manuel,Real Sample,Sample 3B Positive,"Mon, 11/11/2024 - 11:00","Fri, 02/21/2025 - 02:00",23806,,,,,Indoor air - Office,,,,,,,,indoor-air
23811,NTS of airborne organic substances in PDMS-foam samplers LC-MS IDAEA Manuel,Real Sample,Sample 4A pos,"Mon, 11/11/2024 - 02:00","Fri, 02/21/2025 - 02:00",23806,,,,,Indoor air - Office,,,,,,,,indoor-air
23812,NTS of airborne organic substances in PDMS-foam samplers LC-MS IDAEA Manuel,Real Sample,Sample 4B pos,"Mon, 11/11/2024 - 02:00","Fri, 02/21/2025 - 02:00",23806,,,,,Indoor air - Office,,,,,,,,indoor-air
23814,NTS of airborne organic substances in PDMS-foam samplers LC-MS IDAEA Manuel,Real Sample,Sample 2A negative,"Mon, 11/11/2024 - 02:00","Fri, 02/21/2025 - 02:00",23813,,,,,Indoor air - Office,,,,,,,,indoor-air
23815,NTS of airborne organic substances in PDMS-foam samplers LC-MS IDAEA Manuel,Real Sample,Sample 2B negative,"Mon, 11/11/2024 - 02:00","Fri, 02/21/2025 - 02:00",23813,,,,,Indoor air - Office,,,,,,,,indoor-air
23816,NTS of airborne organic substances in PDMS-foam samplers LC-MS IDAEA Manuel,Real Sample,Sample 3A negative,"Mon, 11/11/2024 - 02:00","Fri, 02/21/2025 - 02:00",23813,,,,,Indoor air - Office,,,,,,,,indoor-air
23817,NTS of airborne organic substances in PDMS-foam samplers LC-MS IDAEA Manuel,Real Sample,Sample 3B negative,"Mon, 11/11/2024 - 02:00","Fri, 02/21/2025 - 02:00",23813,,,,,Indoor air - Office,,,,,,,,indoor-air
23818,NTS of airborne organic substances in PDMS-foam samplers LC-MS IDAEA Manuel,Real Sample,Sample 4A negative,"Mon, 11/11/2024 - 02:00","Fri, 02/21/2025 - 02:00",23813,,,,,Indoor air - Office,,,,,,,,indoor-air
23819,NTS of airborne organic substances in PDMS-foam samplers LC-MS IDAEA Manuel,Real Sample,Sample 4B,"Mon, 11/11/2024 - 02:00","Fri, 02/21/2025 - 02:00",23813,,,,,Indoor air - Office,,,,,,,,indoor-air
