,ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Alive or not,Basis of measurement,Biota species name (in Latin),Distance from the river source (km),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Proxy pressures,River basin name,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country
0,21029,Peregrine falcon Naturalis,Blank Sample,Procedural blank for liver from peregrine falcon,"Tue, 04/04/2017 - 22:00","Tue, 02/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.37,4.89,0,Wet weight,,,,Netherlands,,Coastal region,,,,Other (22510),Liver,,,Netherlands
1,21030,Peregrine falcon Naturalis,Blank Sample,Procedural blank for liver from peregrine falcon,"Tue, 04/04/2017 - 22:00","Tue, 02/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.37,4.89,0,Wet weight,,,,Netherlands,,Coastal region,,,,Other (22510),Liver,,,Netherlands
2,21031,Peregrine falcon Naturalis,Real Sample,Liver from peregrine falcon located in het Pothoofd (Ring Arnhem 6.181.264),"Tue, 04/04/2017 - 22:00","Tue, 02/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Pothoofd,Netherlands,52.247098,6.164613,1,Wet weight,,,,Netherlands,,Coastal region,,,351.0,Other (22510),Liver,,0.91,Netherlands
3,21032,Peregrine falcon Naturalis,Real Sample,Liver from peregrine falcon located in het Pothoofd (Ring Arnhem 6.181.264),"Tue, 04/04/2017 - 22:00","Tue, 02/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Pothoofd,Netherlands,52.247098,6.164613,1,Wet weight,,,,Netherlands,,Coastal region,,,351.0,Other (22510),Liver,,0.91,Netherlands
4,21033,Peregrine falcon Naturalis,Real Sample,Liver from peregrine falcon located in het Pothoofd,"Tue, 04/04/2017 - 22:00","Tue, 02/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Pothoofd,Netherlands,52.247098,6.164613,0,Wet weight,,,,Netherlands,,Coastal region,,,351.0,Other (22510),Liver,,1.005,Netherlands
5,21034,Peregrine falcon Naturalis,Real Sample,Liver from peregrine falcon located in het Pothoofd,"Tue, 04/04/2017 - 22:00","Tue, 02/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Pothoofd,Netherlands,52.247098,6.164613,0,Wet weight,,,,Netherlands,,Coastal region,,,351.0,Other (22510),Liver,,1.005,Netherlands
6,21035,Peregrine falcon Naturalis,Real Sample,Liver from peregrine falcon located in Krimpenerwaard,"Sun, 01/22/2017 - 22:00","Sun, 12/18/2016 - 22:00",LC-Bruker maXis QTOF: Submission #11,Berkenwoude,Netherlands,51.954625,4.696841,0,Wet weight,,,,Netherlands,,Coastal region,,,375.0,Other (22510),Liver,,0.95,Netherlands
7,21036,Peregrine falcon Naturalis,Real Sample,Liver from peregrine falcon located in Krimpenerwaard,"Sun, 01/22/2017 - 22:00","Sun, 12/18/2016 - 22:00",LC-Bruker maXis QTOF: Submission #10,Berkenwoude,Netherlands,51.954625,4.696841,0,Wet weight,,,,Netherlands,,Coastal region,,,375.0,Other (22510),Liver,,0.95,Netherlands
8,21037,Peregrine falcon Naturalis,Real Sample,Liver from peregrine falcon located in Overdiepse Polder,"Sun, 03/05/2017 - 22:00","Sun, 01/29/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Overdiepse Polder,Netherlands,51.713907,4.94657,1,Wet weight,,,,Netherlands,,Coastal region,,,309.0,Other (22510),Liver,,0.449,Netherlands
9,21038,Peregrine falcon Naturalis,Real Sample,Liver from peregrine falcon located in Overdiepse Polder,"Sun, 03/05/2017 - 22:00","Sun, 01/29/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Overdiepse Polder,Netherlands,51.713907,4.94657,1,Wet weight,,,,Netherlands,,Coastal region,,,309.0,Other (22510),Liver,,0.449,Netherlands
