ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,River basin name,Proxy pressures,Type of sampling depth,Distance from the river source (km),Depth (m),Sludge total organic carbon (% of total dry weight)
21669,EMBLAS-II (Survey 2017) GC,Real Sample,Sediment 1B,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",65,Tulcea,Romania,43.02258333,37.56416667,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,0.1,
21670,EMBLAS-II (Survey 2017) GC,Real Sample,Sediment 1B,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",65,Tulcea,Romania,43.02258333,37.56416667,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,0.1,
21671,EMBLAS-II (Survey 2017) GC,Real Sample,Sediment 1A,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",65,Tulcea,Romania,43.02258333,37.56416667,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,0.1,
21672,EMBLAS-II (Survey 2017) GC,Real Sample,Sediment 1A,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",65,Tulcea,Romania,43.02258333,37.56416667,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,0.1,
