ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,River basin name,Proxy pressures,Type of sampling depth,Distance from the river source (km),Depth (m),Sludge total organic carbon (% of total dry weight)
23195,RV Belgica vessel cruise,Real Sample,Marine sediment from the Mediterranean Sea between Italy and Malta (B-SC-10-D-0-5),"Fri, 10/08/2021 - 00:00","Sun, 06/30/2024 - 00:00",10,Pozzallo,,36.241983,14.911562,Mediterranean Sea,(Whole) Fraction < 2mm,,Marine sediment,Mediterranean Sea basin,,Spot sampling,,120.0,
23196,RV Belgica vessel cruise,Real Sample,Marine sediment from the Aegean Sea close to Limnos island (B-SC-13-D-0-5),"Fri, 10/08/2021 - 00:00","Sun, 06/30/2024 - 00:00",10,Limnos,,39.72345,25.618867,Aegean Sea,(Whole) Fraction < 2mm,,Marine sediment,Aegean Sea basin,,Spot sampling,,110.0,
23197,RV Belgica vessel cruise,Real Sample,Marine sediment from the Marmara Sea (B-SC-14-D-0-5),"Fri, 10/08/2021 - 00:00","Wed, 03/06/2024 - 00:00",10,Istanbul,,40.71425,28.475117,Marmara Sea,(Whole) Fraction < 2mm,,Marine sediment,Marmara Sea,,Spot sampling,,400.0,
23198,RV Belgica vessel cruise,Real Sample,Marine sediment from the Black Sea close to Burgas (B-SC-16-D-0-5),"Fri, 10/08/2021 - 00:00","Sun, 06/30/2024 - 00:00",10,Burgas,,42.3969,28.20384,Black Sea,(Whole) Fraction < 2mm,,Marine sediment,Black Sea basin,,Spot sampling,,86.0,
23199,RV Belgica vessel cruise,Real Sample,Marine sediment from the Black Sea close to Constanta (B-SC-17-D-0-5),"Fri, 10/08/2021 - 00:00","Sun, 06/30/2024 - 00:00",10,Constanta,,43.902167,30.001533,Black Sea,(Whole) Fraction < 2mm,,Marine sediment,Black Sea basin,,Spot sampling,,83.0,
23200,RV Belgica vessel cruise,Real Sample,Marine sediment from the Black Sea close to Odesa (B-SC-18-D-0-5),"Fri, 10/08/2021 - 00:00","Sun, 06/30/2024 - 00:00",10,Odesa,,45.8328,30.99955,Black Sea,(Whole) Fraction < 2mm,,Marine sediment,Black Sea basin,,Spot sampling,,120.0,
23201,RV Belgica vessel cruise,Blank Sample,Blank sediments 01 from Belgical Three Seas cruise,"Fri, 10/08/2021 - 00:00","Sun, 06/30/2024 - 00:00",10,Odesa,,46.54523,30.81423,,(Whole) Fraction < 2mm,,,,,Spot sampling,,,
23202,RV Belgica vessel cruise,Blank Sample,Blank sediments 02 from Belgical Three Seas cruise,"Fri, 10/08/2021 - 00:00","Sun, 06/30/2024 - 00:00",10,Odesa,,46.54523,30.81424,,(Whole) Fraction < 2mm,,Marine sediment,,,Spot sampling,,,
23203,RV Belgica vessel cruise,Real Sample,Marine sediment from the Mediterranean Sea between Italy and Malta (B-SC-10-D-0-5) Neg,"Fri, 10/08/2021 - 00:00","Sun, 06/30/2024 - 00:00",11,Pozzallo,,36.241983,14.911562,Mediterranean Sea,(Whole) Fraction < 2mm,,Marine sediment,Mediterranean Sea basin,,Spot sampling,,120.0,
23204,RV Belgica vessel cruise,Real Sample,Marine sediment from the Aegean Sea close to Limnos island (B-SC-13-D-0-5) Neg,"Fri, 10/08/2021 - 00:00","Sun, 06/30/2024 - 00:00",11,Limnos,,39.72345,25.618867,Aegean Sea,(Whole) Fraction < 2mm,,Marine sediment,Aegean Sea basin,,Spot sampling,,110.0,
23205,RV Belgica vessel cruise,Real Sample,Marine sediment from the Marmara Sea (B-SC-14-D-0-5) Neg,"Fri, 10/08/2021 - 00:00","Sun, 06/30/2024 - 00:00",11,Istanbul,,40.71425,28.475117,Marmara Sea,(Whole) Fraction < 2mm,,Marine sediment,Marmara Sea basin,,Spot sampling,,400.0,
23206,RV Belgica vessel cruise,Real Sample,Marine sediment from the Black Sea close to Burgas (B-SC-16-D-0-5) Neg,"Fri, 10/08/2021 - 00:00","Sun, 06/30/2024 - 00:00",11,Burgas,,42.3969,28.20384,Black Sea,(Whole) Fraction < 2mm,,Marine sediment,Black Sea basin,,Spot sampling,,,
23207,RV Belgica vessel cruise,Real Sample,Marine sediment from the Black Sea close to Constanta (B-SC-17-D-0-5) Neg,"Fri, 10/08/2021 - 00:00","Sun, 06/30/2024 - 00:00",11,Constanta,,43.902167,30.001533,Black Sea,(Whole) Fraction < 2mm,,Marine sediment,Black Sea basin,,Spot sampling,,83.0,
23208,RV Belgica vessel cruise,Real Sample,Marine sediment from the Black Sea close to Odesa (B-SC-18-D-0-5) Neg,"Fri, 10/08/2021 - 00:00","Sun, 06/30/2024 - 00:00",11,Odesa,,45.8328,30.99955,Black Sea,(Whole) Fraction < 2mm,,Marine sediment,Black Sea basin,,Spot sampling,,120.0,
23209,RV Belgica vessel cruise,Blank Sample,Blank sediments 01 from Belgical Three Seas cruise Neg,"Fri, 10/08/2021 - 00:00","Sun, 06/30/2024 - 00:00",11,Odesa,,46.54523,30.81424,,(Whole) Fraction < 2mm,,Marine sediment,,,Spot sampling,,,
23210,RV Belgica vessel cruise,Blank Sample,Blank sediments 02 from Belgical Three Seas cruise Neg,"Sun, 10/08/2023 - 00:00","Sun, 06/30/2024 - 00:00",11,Odesa,,46.54523,30.81424,,(Whole) Fraction < 2mm,,Marine sediment,,,Spot sampling,,,
