ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Barometric pressure (kPa),Name of wider sapling area,Relative humidity (%),Sample Matrix,Sampling height above sea level (m),Temperature,Wind direction,Wind speed (km/h)
25149,NTS of airborne organic substances in PDMS-foam samplers LC-HRMS IDAEA-CSIC DanielGutierrezMartin,Real Sample,Experiment2A-LC-HRMS. PDMS foam disks (14 cm ⌀) were pre-deployed for 40 days on a rooftop station Stockholm  citycenter,,"Wed, 01/15/2025 - 15:00",25157,,,,,,,,,,,,
25150,NTS of airborne organic substances in PDMS-foam samplers LC-HRMS IDAEA-CSIC DanielGutierrezMartin,Real Sample,Experiment2B - LC-HRMS. Large PDMS foam disks (14 cm ⌀)  pre-deployed for 40 days. Rooftop station city centre Stockholm,,"Wed, 01/15/2025 - 15:00",25157,,,,,,,,,,,,
25158,NTS of airborne organic substances in PDMS-foam samplers LC-HRMS IDAEA-CSIC DanielGutierrezMartin,Real Sample,POS_Experiment-2A - LC-HRMS. PDMS foam disks (14 cm ⌀) pre-deployed for 40 days. Rooftop station city centre Stockholm,,"Wed, 01/15/2025 - 15:00",25156,,,,,,,,,,,,
25159,NTS of airborne organic substances in PDMS-foam samplers LC-HRMS IDAEA-CSIC DanielGutierrezMartin,Real Sample,POS_Experiment-2B - LC-HRMS. PDMS foam disks (14 cm ⌀) pre-deployed for 40 days. Rooftop station city centre Stockholm,,"Wed, 01/15/2025 - 15:00",25156,,,,,,,,,,,,
