Liver,Muscle,Egg,Other,id
True,False,False,False,NS00066742
True,True,True,True,NS00077846
True,True,True,False,NS00055981
True,False,False,False,NS00024523
True,False,False,False,NS00031881
True,False,False,False,NS00041906
True,True,False,True,NS00002052
True,True,True,True,NS00077713
True,True,False,False,NS00097284
True,False,False,False,NS00015421
True,False,False,False,NS00042695
True,True,True,True,NS00003513
True,False,False,False,NS00113914
True,True,False,False,NS00033390
True,True,False,False,NS00011524
True,False,False,False,NS00102887
True,False,False,False,NS00053314
True,False,False,False,NS00070952
True,False,False,False,NS00045262
True,False,False,False,NS00016940
True,True,True,True,NS00099790
True,False,False,True,NS00010089
True,True,True,True,NS00024861
True,False,False,False,NS00028374
True,True,False,True,NS00057162
True,True,False,True,NS00066006
True,False,False,False,NS00102945
True,True,True,True,NS00050273
True,True,False,True,NS00065219
True,False,False,False,NS00057875
True,True,False,True,NS00065426
True,False,False,False,NS00019587
True,True,True,True,NS00068268
True,False,False,False,NS00015595
True,True,False,False,NS00068588
True,True,False,False,NS00066115
True,False,False,False,NS00093893
True,True,False,True,NS00076985
True,True,False,False,NS00044849
True,True,False,False,NS00029599
True,False,False,False,NS00037504
True,False,False,False,NS00068704
True,True,False,True,NS00079979
True,True,False,True,NS00010329
True,False,False,False,NS00041941
True,True,False,False,NS00080641
True,False,False,False,NS00002164
True,True,False,False,NS00070268
True,False,False,False,NS00065369
True,True,False,True,NS00023114
True,True,True,True,NS00044094
True,True,True,True,NS00032963
True,False,False,False,NS00045219
True,True,False,True,NS00093549
True,False,False,False,NS00052992
True,False,False,False,NS00045855
True,True,False,True,NS00046865
True,True,False,True,NS00013650
True,True,False,False,NS00043845
True,True,True,True,NS00068839
True,False,False,False,NS00015778
True,True,True,True,NS00087463
True,True,True,True,NS00002612
True,False,False,False,NS00016946
True,True,True,False,NS00050547
True,True,False,True,NS00035434
True,False,False,False,NS00084490
True,False,False,False,NS00055847
True,True,False,True,NS00047239
True,True,True,True,NS00023457
True,False,False,False,NS00061765
True,True,False,True,NS00077181
True,False,False,False,NS00102499
True,True,True,True,NS00033183
True,False,False,False,NS00113932
True,False,False,False,NS00071549
True,False,False,False,NS00018626
True,True,False,True,NS00040286
True,True,False,False,NS00062415
True,True,True,True,NS00004169
True,True,True,True,NS00022512
True,True,False,True,NS00038975
True,False,False,False,NS00072001
True,True,False,False,NS00083282
True,True,True,True,NS00031374
True,True,False,True,NS00015112
True,False,False,False,NS00003690
True,False,False,False,NS00056818
True,False,False,False,NS00091144
True,False,False,False,NS00045537
True,True,True,False,NS00055484
True,True,False,False,NS00025205
True,True,False,True,NS00044483
True,False,False,False,NS00082835
True,False,False,False,NS00050647
True,True,True,True,NS00051439
True,True,True,True,NS00005539
True,True,False,False,NS00062440
True,True,True,True,NS00042184
True,False,False,False,NS00049274
True,False,False,False,NS00065978
True,True,True,True,NS00046627
True,True,False,False,NS00040234
True,True,True,True,NS00035281
True,True,True,True,NS00044101
True,True,True,True,NS00025722
True,False,False,False,NS00071142
True,True,True,True,NS00014860
True,False,False,False,NS00050850
True,False,False,False,NS00014438
True,True,True,True,NS00083296
True,False,False,False,NS00051620
True,True,False,False,NS00018018
True,True,True,False,NS00032465
True,False,False,False,NS00083168
True,True,False,False,NS00025516
True,False,False,False,NS00015506
True,False,False,False,NS00096546
True,True,True,False,NS00062376
True,True,False,True,NS00063877
True,True,True,True,NS00034020
True,False,False,False,NS00054234
True,True,True,True,NS00103542
True,True,False,False,NS00050526
True,False,False,False,NS00097076
True,False,False,False,NS00044207
True,True,False,False,NS00100938
True,True,True,True,NS00030694
True,False,False,False,NS00003070
True,False,False,False,NS00063421
True,True,False,True,NS00027607
True,True,False,True,NS00036641
True,False,False,False,NS00060125
True,True,False,True,NS00012419
True,True,True,True,NS00044427
True,True,False,False,NS00047965
True,True,False,False,NS00013909
True,False,False,False,NS00076568
True,True,False,True,NS00009631
True,False,False,False,NS00073037
True,False,False,False,NS00024354
True,True,True,False,NS00012626
True,False,False,False,NS00034140
True,False,False,False,NS00047786
True,True,True,True,NS00014365
True,True,False,True,NS00039694
True,True,True,True,NS00033076
True,True,False,False,NS00006972
True,False,False,False,NS00096498
True,True,True,False,NS00029164
True,True,True,True,NS00059241
True,True,False,False,NS00038193
True,True,True,True,NS00024526
True,True,True,True,NS00076456
True,False,False,False,NS00024010
True,True,True,True,NS00093502
True,True,False,True,NS00065488
True,False,False,False,NS00026488
True,False,False,False,NS00088895
True,True,True,True,NS00014224
True,True,False,False,NS00051042
True,True,False,True,NS00024137
True,True,False,True,NS00066046
True,True,False,True,NS00066733
True,False,False,False,NS00087256
True,False,False,False,NS00023339
True,False,False,False,NS00045088
True,True,False,True,NS00096680
True,False,False,False,NS00063762
True,True,True,False,NS00020358
True,False,False,True,NS00012994
True,True,True,True,NS00021917
True,True,False,True,NS00076871
True,False,False,False,NS00022256
True,True,False,True,NS00013174
True,True,True,True,NS00002670
True,True,True,True,NS00103698
True,True,True,True,NS00103702
True,True,True,True,NS00050353
True,False,False,False,NS00046542
True,False,False,False,NS00064939
True,False,False,False,NS00046850
True,False,False,False,NS00053422
True,True,False,False,NS00103996
True,False,False,False,NS00072772
True,False,False,False,NS00084340
True,False,False,False,NS00087821
True,True,True,True,NS00114117
True,False,False,False,NS00009026
True,True,False,False,NS00103038
True,True,True,True,NS00031030
True,False,False,False,NS00023594
True,True,False,True,NS00005376
True,True,False,True,NS00096256
True,True,True,True,NS00014836
True,True,False,True,NS00047882
True,True,True,True,NS00016951
True,False,False,False,NS00015160
True,True,True,True,NS00024107
True,True,False,False,NS00065604
True,False,False,False,NS00045908
True,False,True,False,NS00062137
True,False,False,False,NS00069961
True,False,False,False,NS00004944
True,False,False,False,NS00059781
True,True,True,True,NS00047131
True,False,False,False,NS00004801
True,True,False,False,NS00055328
True,False,False,False,NS00067281
True,True,True,True,NS00014764
True,True,False,False,NS00069911
True,True,False,False,NS00096101
True,True,True,True,NS00006792
True,True,True,True,NS00056967
True,False,False,False,NS00022249
True,True,False,False,NS00052373
True,True,True,True,NS00103703
True,False,False,False,NS00018014
True,True,False,False,NS00069859
True,True,True,True,NS00045552
True,True,False,False,NS00065883
True,False,False,False,NS00049238
True,False,False,False,NS00023858
True,True,False,False,NS00058643
True,False,False,False,NS00093927
True,True,True,True,NS00037502
True,True,False,True,NS00077084
True,True,True,False,NS00066648
True,False,False,True,NS00032349
True,False,False,False,NS00062540
True,False,False,False,NS00088489
True,False,False,False,NS00096929
True,True,False,True,NS00082101
True,True,True,False,NS00051943
True,False,False,True,NS00053882
True,True,False,True,NS00063989
True,False,False,False,NS00031875
True,False,False,False,NS00062887
True,True,True,False,NS00012669
True,True,True,True,NS00008811
True,True,True,True,NS00030917
True,False,False,False,NS00030446
True,False,False,False,NS00001427
True,False,False,False,NS00102766
True,True,False,False,NS00005555
True,True,True,True,NS00025185
True,False,False,False,NS00027609
True,False,False,False,NS00023448
True,True,True,True,NS00021751
True,True,False,False,NS00039579
True,True,True,True,NS00040020
True,True,False,True,NS00073628
True,True,True,False,NS00028640
True,False,False,False,NS00051579
True,True,True,False,NS00010307
True,True,False,False,NS00010575
True,False,False,False,NS00093864
True,False,False,True,NS00078830
True,False,False,False,NS00113896
True,True,True,True,NS00025345
True,True,False,False,NS00065443
True,True,True,False,NS00032293
True,True,True,True,NS00068209
True,True,False,True,NS00102699
True,True,True,False,NS00028034
True,True,False,True,NS00114112
True,False,False,False,NS00102539
True,True,False,False,NS00047264
True,True,False,False,NS00010558
True,True,True,False,NS00075812
True,False,False,False,NS00065200
True,True,False,True,NS00013132
True,True,False,True,NS00004091
True,True,False,False,NS00058955
True,True,True,True,NS00054686
True,True,False,True,NS00077004
True,True,False,False,NS00097431
True,False,False,False,NS00033999
True,True,True,True,NS00103548
True,True,True,True,NS00049835
True,True,True,True,NS00045458
True,False,False,False,NS00025632
